Federal Information Processing Standard (FIPS) Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 2017-21","High school diploma only, 2017-21","Some college or associate's degree, 2017-21","Bachelor's degree or higher, 2017-21","Percent of adults with less than a high school diploma, 2017-21","Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
0,US,United States,,,,,"25,050,356","59,636,386","64,656,741","75,808,834",11.1,26.5,28.7,33.7
1000,AL,Alabama,,,,,"430,047","1,041,209","1,032,122","910,425",12.6,30.5,30.2,26.7
1001,AL,Autauga County,2,2,2,2,"4,126","12,977","11,367","11,144",10.4,32.8,28.7,28.1
1003,AL,Baldwin County,4,5,3,2,"14,555","44,342","50,518","52,562",9,27.4,31.2,32.5
1005,AL,Barbour County,6,6,6,6,"4,378","6,600","5,010","2,007",24.3,36.7,27.8,11.2
1007,AL,Bibb County,1,1,1,1,"3,125","7,052","3,967","1,913",19.5,43.9,24.7,11.9
1009,AL,Blount County,1,1,1,1,"6,650","14,284","13,673","6,061",16.4,35.1,33.6,14.9
1011,AL,Bullock County,6,6,6,6,"1,540","2,841","1,692",804,22.4,41.3,24.6,11.7
1013,AL,Butler County,6,6,6,6,"1,932","6,050","3,523","1,879",14.4,45.2,26.3,14
1015,AL,Calhoun County,3,2,3,2,"11,867","27,783","24,939","15,674",14.8,34.6,31.1,19.5
1017,AL,Chambers County,6,5,6,5,"4,275","8,996","8,167","3,390",17.2,36.2,32.9,13.7
1019,AL,Cherokee County,8,6,6,6,"3,720","6,809","5,543","2,364",20.2,36.9,30.1,12.8
1021,AL,Chilton County,1,1,1,1,"5,569","13,113","7,719","4,133",18.2,42.9,25.3,13.5
1023,AL,Choctaw County,9,10,9,10,"1,802","3,477","2,915","1,087",19.4,37.5,31.4,11.7
1025,AL,Clarke County,7,11,7,11,"2,892","6,740","4,378","2,259",17.8,41.4,26.9,13.9
1027,AL,Clay County,9,10,9,10,"1,694","3,813","3,128","1,334",17,38.2,31.4,13.4
1029,AL,Cleburne County,8,4,8,4,"1,789","3,958","3,082","1,730",16.9,37.5,29.2,16.4
1031,AL,Coffee County,6,5,4,5,"4,934","10,108","12,919","8,202",13.6,28,35.7,22.7
1033,AL,Colbert County,3,2,3,2,"5,333","15,244","12,600","7,213",13.2,37.7,31.2,17.9
1035,AL,Conecuh County,9,11,7,11,"1,077","4,200","2,309","1,079",12.4,48.5,26.6,12.5
1037,AL,Coosa County,8,7,8,3,"1,217","3,410","2,623",915,14.9,41.8,32.1,11.2
1039,AL,Covington County,7,9,6,6,"3,915","10,037","8,293","4,176",14.8,38,31.4,15.8
1041,AL,Crenshaw County,8,6,8,6,"1,742","3,882","2,133","1,524",18.8,41.8,23,16.4
1043,AL,Cullman County,6,3,4,3,"9,560","19,624","21,400","9,979",15.8,32.4,35.3,16.5
1045,AL,Dale County,4,5,4,5,"5,093","10,376","11,859","6,278",15.2,30.9,35.3,18.7
1047,AL,Dallas County,4,5,4,5,"3,709","10,065","8,304","4,241",14.1,38.2,31.6,16.1
1049,AL,DeKalb County,6,6,6,6,"10,522","16,172","14,623","6,969",21.8,33.5,30.3,14.4
1051,AL,Elmore County,2,2,2,2,"7,459","19,351","18,732","14,830",12.4,32.1,31,24.6
1053,AL,Escambia County,6,6,6,6,"4,697","11,249","6,543","3,227",18.3,43.7,25.4,12.5
1055,AL,Etowah County,3,2,3,2,"10,014","24,491","24,986","13,067",13.8,33.8,34.4,18
1057,AL,Fayette County,6,6,6,6,"1,951","4,714","3,472","1,361",17,41,30.2,11.8
1059,AL,Franklin County,6,6,6,6,"4,381","9,016","4,922","3,050",20.5,42.2,23,14.3
1061,AL,Geneva County,3,2,3,2,"3,294","6,879","6,103","2,538",17.5,36.6,32.4,13.5
1063,AL,Greene County,3,2,8,6,861,"2,173","1,797",703,15.6,39.3,32.5,12.7
1065,AL,Hale County,3,2,3,2,"1,890","3,943","2,664","1,593",18.7,39.1,26.4,15.8
1067,AL,Henry County,3,2,3,2,"2,280","3,931","3,358","2,633",18.7,32.2,27.5,21.6
1069,AL,Houston County,3,2,3,2,"9,006","23,633","24,570","16,350",12.2,32.1,33.4,22.2
1071,AL,Jackson County,6,5,6,5,"6,627","14,431","10,579","6,072",17.6,38.3,28.1,16.1
1073,AL,Jefferson County,1,1,1,1,"41,479","121,180","137,209","159,041",9,26.4,29.9,34.7
1075,AL,Lamar County,9,10,8,7,"1,745","4,151","3,062",990,17.5,41.7,30.8,10
1077,AL,Lauderdale County,3,2,3,2,"7,275","22,572","18,101","16,396",11.3,35.1,28.1,25.5
1079,AL,Lawrence County,3,2,3,2,"3,912","9,642","6,211","3,568",16.8,41.3,26.6,15.3
1081,AL,Lee County,3,2,3,2,"9,095","23,254","32,377","40,727",8.6,22.1,30.7,38.6
1083,AL,Limestone County,2,2,2,2,"9,573","19,395","21,892","20,159",13.5,27.3,30.8,28.4
1085,AL,Lowndes County,2,2,2,2,"1,094","3,094","1,900","1,083",15.3,43.1,26.5,15.1
1087,AL,Macon County,6,5,6,6,"2,067","3,765","4,044","2,663",16.5,30,32.3,21.2
