Education_2017-2020_final_version,,,,,,,,
Year,Federal Information Processing Standard (FIPS) Code,State,Area name,Number of adults with less than HS diploma,Number of adults with HS diploma only,Number of adults completing some college or associate's degree,Number of adults with a bachelor's degree or higher,
2017,1001,AL,Autauga County,5772.42,18205.31,15929.65,15596.62,
2017,1003,AL,Baldwin County,19136.52,58260.07,66339.94,69104.10,
2017,1005,AL,Barbour County,6140.61,9274.09,7025.06,2830.24,
2017,1007,AL,Bibb County,4420.26,9951.25,5599.00,2697.49,
2017,1009,AL,Blount County,9514.13,20362.56,19492.37,8643.94,
2017,1011,AL,Bullock County,2309.22,4257.62,2536.01,1206.15,
2017,1013,AL,Butler County,2854.80,8960.90,5213.98,2775.50,
2017,1015,AL,Calhoun County,16979.74,39695.89,35680.41,22371.96,
2017,1017,AL,Chambers County,5798.64,12204.11,11091.58,4618.68,
2017,1019,AL,Cherokee County,5223.11,9541.23,7782.96,3309.70,
2017,1021,AL,Chilton County,8020.19,18904.74,11148.95,5949.05,
2017,1023,AL,Choctaw County,2511.33,4854.38,4064.73,1514.57,
2017,1025,AL,Clarke County,4286.77,9970.36,6478.33,3347.54,
2017,1027,AL,Clay County,2272.39,5106.19,4197.24,1791.18,
2017,1029,AL,Cleburne County,2518.10,5587.50,4350.80,2443.60,
2017,1031,AL,Coffee County,7054.86,14524.72,18519.02,11775.40,
2017,1033,AL,Colbert County,7194.00,20546.50,17004.00,9755.50,
2017,1035,AL,Conecuh County,1546.16,6047.47,3316.75,1558.63,
2017,1037,AL,Coosa County,1602.35,4495.17,3452.03,1204.45,
2017,1039,AL,Covington County,5489.62,14094.96,11646.89,5860.54,
2017,1041,AL,Crenshaw County,2607.75,5798.08,3190.33,2274.84,
2017,1043,AL,Cullman County,13075.29,26812.62,29212.52,13654.58,
2017,1045,AL,Dale County,7482.35,15210.83,17376.78,9205.26,
2017,1047,AL,Dallas County,5529.32,14980.13,12391.94,6313.62,
2017,1049,AL,DeKalb County,15612.51,23991.70,21699.95,10312.85,
2017,1051,AL,Elmore County,10127.95,26218.32,25319.87,20092.54,
2017,1053,AL,Escambia County,6852.80,16364.34,9511.54,4680.88,
2017,1055,AL,Etowah County,14180.19,34731.19,35347.72,18495.90,
2017,1057,AL,Fayette County,2799.56,6751.88,4973.34,1943.22,
2017,1059,AL,Franklin County,6456.48,13290.89,7243.85,4503.79,
2017,1061,AL,Geneva County,4623.68,9670.09,8560.40,3566.84,
2017,1063,AL,Greene County,1299.48,3273.69,2707.25,1057.91,
2017,1065,AL,Hale County,2769.84,5791.49,3910.37,2340.30,
2017,1067,AL,Henry County,3206.49,5521.33,4715.43,3703.75,
2017,1069,AL,Houston County,12730.21,33495.07,34851.56,23164.81,
2017,1071,AL,Jackson County,9135.98,19881.15,14586.43,8357.35,
2017,1073,AL,Jefferson County,59327.73,174028.01,197099.90,228741.36,
