FIPS_code,State,Area_name,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020
0,US,United States,"158,674,951","150,949,349","7,725,602",4.9,"160,744,592","153,744,181","7,000,411",4.4,"162,039,458","155,727,518","6,311,940",3.9,"163,815,890","157,805,900","6,009,990",3.7,"161,207,103","148,183,367","13,023,736",8.1,"161,758,337","153,099,687","8,658,650",5.4,"67,340",
1000,AL,Alabama,"2,155,729","2,029,157","126,572",5.9,"2,203,458","2,103,873","99,585",4.5,"2,240,477","2,153,080","87,397",3.9,"2,271,892","2,199,868","72,024",3.2,"2,268,309","2,121,149","147,160",6.5,"2,246,993","2,169,721","77,272",3.4,"53,958",100
1001,AL,"Autauga County, AL","25,710","24,395","1,315",5.1,"26,269","25,224","1,045",4,"26,475","25,524",951,3.6,"26,684","25,920",764,2.9,"26,405","24,985","1,420",5.4,"26,341","25,599",742,2.8,"67,565",125.2
1003,AL,"Baldwin County, AL","89,778","84,972","4,806",5.4,"93,152","89,286","3,866",4.2,"96,252","92,769","3,483",3.6,"98,921","96,044","2,877",2.9,"98,910","92,751","6,159",6.2,"99,427","96,481","2,946",3,"71,135",131.8
1005,AL,"Barbour County, AL","8,334","7,638",696,8.4,"8,415","7,914",501,6,"8,505","8,071",434,5.1,"8,637","8,292",345,4,"8,680","8,004",676,7.8,"8,197","7,728",469,5.7,"38,866",72
1007,AL,"Bibb County, AL","8,539","7,986",553,6.5,"8,648","8,261",387,4.5,"8,698","8,354",344,4,"8,772","8,488",284,3.2,"8,712","8,073",639,7.3,"8,560","8,262",298,3.5,"50,907",94.3
1009,AL,"Blount County, AL","24,380","23,061","1,319",5.4,"25,009","23,979","1,030",4.1,"25,337","24,454",883,3.5,"25,582","24,861",721,2.8,"25,116","23,973","1,143",4.6,"25,127","24,529",598,2.4,"55,203",102.3
1011,AL,"Bullock County, AL","4,785","4,457",328,6.9,"4,890","4,644",246,5,"4,844","4,619",225,4.6,"4,861","4,673",188,3.9,"4,877","4,582",295,6,"4,606","4,422",184,4,"33,124",61.4
1013,AL,"Butler County, AL","9,116","8,484",632,6.9,"9,046","8,536",510,5.6,"9,070","8,642",428,4.7,"9,317","8,956",361,3.9,"9,236","8,345",891,9.6,"8,796","8,328",468,5.3,"42,268",78.3
1015,AL,"Calhoun County, AL","45,450","42,470","2,980",6.6,"46,304","43,960","2,344",5.1,"46,805","44,652","2,153",4.6,"46,804","45,064","1,740",3.7,"47,022","43,367","3,655",7.8,"46,118","44,212","1,906",4.1,"50,259",93.1
