,Year,countycode,State,county,population,deaths,cruderate,DispenseRate,PersonalIncome,PerCapitaPersonalIncome,LessThanHS,HSDiplomaOnly,SomeCollege,BachelorOrHigher,PovertyPop,PovertyRate,UnemployedPop,UnemployedRate
0,2020,1001,AL,"Autauga County, AL",56145,Suppressed,Suppressed,98.3,45248.0,58877.0,5839.08,18415.56,16113.62,15776.75,6242.0,11.2,1420.0,5.4
1,2020,1003,AL,"Baldwin County, AL",229287,41,17.90,65.0,51348.0,233140.0,20635.83,62824.64,71537.54,74518.28,20189.0,8.9,6159.0,6.2
2,2020,1005,AL,"Barbour County, AL",24589,Suppressed,Suppressed,22.8,37120.0,25180.0,5975.13,9024.16,6835.74,2753.97,5548.0,25.5,676.0,7.8
3,2020,1007,AL,"Bibb County, AL",22136,Suppressed,Suppressed,24.8,34598.0,22223.0,4316.52,9717.7,5467.59,2634.18,3549.0,17.8,639.0,7.3
4,2020,1009,AL,"Blount County, AL",57879,Suppressed,Suppressed,22.8,38351.0,59081.0,9492.16,20315.53,19447.34,8623.97,7525.0,13.1,1143.0,4.6
5,2020,1011,AL,"Bullock County, AL",9976,Suppressed,Suppressed,22.0,30429.0,10309.0,2234.62,4120.09,2454.1,1167.19,2552.0,30.8,295.0,6.0
6,2020,1013,AL,"Butler County, AL",19504,Suppressed,Suppressed,35.1,41151.0,19045.0,2808.58,8815.81,5129.55,2730.56,3954.0,20.6,891.0,9.6
7,2020,1015,AL,"Calhoun County, AL",113469,Suppressed,Suppressed,97.9,39546.0,116266.0,16793.41,39260.27,35288.86,22126.46,15915.0,14.5,3655.0,7.8
8,2020,1017,AL,"Chambers County, AL",32865,Suppressed,Suppressed,60.5,36299.0,34678.0,5652.78,11897.13,10812.59,4502.51,5266.0,16.3,1209.0,7.5
9,2020,1019,AL,"Cherokee County, AL",26294,Suppressed,Suppressed,50.6,39416.0,24958.0,5311.39,9702.49,7914.49,3365.63,3827.0,14.7,599.0,5.1
10,2020,1021,AL,"Chilton County, AL",44397,Suppressed,Suppressed,39.3,38551.0,45024.0,8080.25,19046.31,11232.44,5993.6,6094.0,13.9,1097.0,5.5
11,2020,1023,AL,"Choctaw County, AL",12418,Suppressed,Suppressed,37.8,41413.0,12619.0,2409.09,4656.75,3899.25,1452.91,2506.0,20.4,348.0,7.4
12,2020,1025,AL,"Clarke County, AL",23291,Suppressed,Suppressed,65.9,41862.0,22995.0,4145.8,9642.47,6265.28,3237.45,4471.0,19.5,783.0,9.9
13,2020,1027,AL,"Clay County, AL",13112,Suppressed,Suppressed,81.7,34660.0,14193.0,2229.04,5008.78,4117.17,1757.01,1818.0,14.2,275.0,4.5
14,2020,1029,AL,"Cleburne County, AL",14967,Suppressed,Suppressed,5.7,37670.0,15035.0,2529.42,5612.63,4370.36,2454.59,2099.0,14.2,296.0,5.1
15,2020,1031,AL,"Coffee County, AL",53230,Suppressed,Suppressed,74.4,45466.0,53565.0,7239.28,14904.4,19003.11,12083.21,7303.0,13.9,1070.0,4.9
16,2020,1033,AL,"Colbert County, AL",55411,Suppressed,Suppressed,150.0,41088.0,57236.0,7314.25,20889.95,17288.23,9918.57,7864.0,14.4,1743.0,7.3
17,2020,1035,AL,"Conecuh County, AL",11851,Suppressed,Suppressed,113.3,37887.0,11552.0,1469.52,5747.74,3152.37,1481.38,2701.0,22.9,368.0,8.0
18,2020,1037,AL,"Coosa County, AL",10650,Suppressed,Suppressed,0.0,35542.0,10383.0,1586.85,4451.7,3418.65,1192.8,1808.0,17.4,272.0,6.1
19,2020,1039,AL,"Covington County, AL",36930,Suppressed,Suppressed,85.3,37777.0,37469.0,5465.64,14033.4,11596.02,5834.94,6219.0,17.1,842.0,5.5
20,2020,1041,AL,"Crenshaw County, AL",13681,Suppressed,Suppressed,33.4,39921.0,13157.0,2572.03,5718.66,3146.63,2243.68,2262.0,16.8,400.0,6.3
21,2020,1043,AL,"Cullman County, AL",84515,Suppressed,Suppressed,81.1,41925.0,88044.0,13353.37,27382.86,29833.8,13944.98,10381.0,12.5,1870.0,4.8
22,2020,1045,AL,"Dale County, AL",48959,Suppressed,Suppressed,31.8,40032.0,49214.0,7441.77,15128.33,17282.53,9155.33,7440.0,15.5,1135.0,5.4
23,2020,1047,AL,"Dallas County, AL",36098,Suppressed,Suppressed,62.7,38762.0,38190.0,5089.82,13789.44,11406.97,5811.78,9471.0,26.7,1745.0,11.8
24,2020,1049,AL,"DeKalb County, AL",71658,Suppressed,Suppressed,64.3,34999.0,71630.0,15621.44,24005.43,21712.37,10318.75,10778.0,15.2,1568.0,5.0
25,2020,1051,AL,"Elmore County, AL",82158,Suppressed,Suppressed,26.8,44683.0,88116.0,10187.59,26372.72,25468.98,20210.87,8972.0,11.5,2005.0,5.3
26,2020,1053,AL,"Escambia County, AL",36281,Suppressed,Suppressed,81.2,36134.0,36665.0,6639.42,15854.8,9215.37,4535.13,6892.0,20.4,993.0,6.8
27,2020,1055,AL,"Etowah County, AL",102371,13,12.70,102.8,39795.0,103393.0,14127.2,34601.4,35215.62,18426.78,15650.0,15.6,3505.0,8.5
28,2020,1057,AL,"Fayette County, AL",16241,Suppressed,Suppressed,53.6,37852.0,16307.0,2760.97,6658.81,4904.78,1916.44,2640.0,16.5,370.0,5.6
29,2020,1059,AL,"Franklin County, AL",31507,Suppressed,Suppressed,89.4,37151.0,32063.0,6458.94,13295.95,7246.61,4505.5,5357.0,17.2,723.0,5.0
30,2020,1061,AL,"Geneva County, AL",26411,Suppressed,Suppressed,17.0,38132.0,26675.0,4621.93,9666.43,8557.16,3565.49,5492.0,21.0,509.0,4.6
31,2020,1063,AL,"Greene County, AL",7990,Suppressed,Suppressed,16.5,36851.0,7704.0,1246.44,3140.07,2596.75,1014.73,2210.0,27.9,366.0,11.8
32,2020,1065,AL,"Hale County, AL",14670,Suppressed,Suppressed,22.6,40633.0,14792.0,2743.29,5735.97,3872.88,2317.86,3166.0,21.9,636.0,10.3
33,2020,1067,AL,"Henry County, AL",17223,Suppressed,Suppressed,46.2,46518.0,17167.0,3220.7,5545.81,4736.33,3720.17,2743.0,16.2,374.0,5.4
34,2020,1069,AL,"Houston County, AL",106580,Suppressed,Suppressed,136.5,47648.0,107190.0,13002.76,34212.18,35597.72,23660.76,15534.0,14.8,2825.0,6.0
35,2020,1071,AL,"Jackson County, AL",51582,Suppressed,Suppressed,71.7,39664.0,52519.0,9078.43,19755.91,14494.54,8304.7,7777.0,15.3,1364.0,5.9
36,2020,1073,AL,"Jefferson County, AL",655342,227,34.60,139.0,58053.0,673341.0,58980.78,173010.29,195947.26,227403.67,92310.0,14.4,21947.0,6.9
37,2020,1075,AL,"Lamar County, AL",13764,Suppressed,Suppressed,10.7,36737.0,13943.0,2408.7,5739.59,4239.31,1376.4,2348.0,17.4,314.0,5.4
38,2020,1077,AL,"Lauderdale County, AL",93368,Suppressed,Suppressed,57.3,41778.0,93610.0,10550.58,32772.17,26236.41,23808.84,12630.0,13.9,2623.0,6.2
39,2020,1079,AL,"Lawrence County, AL",32857,Suppressed,Suppressed,28.3,38225.0,33063.0,5519.98,13569.94,8739.96,5027.12,5005.0,15.4,792.0,5.5
40,2020,1081,AL,"Lee County, AL",166831,Suppressed,Suppressed,35.4,41760.0,174601.0,14347.47,36869.65,51217.12,64396.77,28901.0,17.9,4443.0,5.8
41,2020,1083,AL,"Limestone County, AL",102228,Suppressed,Suppressed,26.9,47397.0,104322.0,13800.78,27908.24,31486.22,29032.75,10285.0,10.4,2164.0,4.7
42,2020,1085,AL,"Lowndes County, AL",9641,Suppressed,Suppressed,8.3,43398.0,10297.0,1475.07,4155.27,2554.87,1455.79,2083.0,21.9,541.0,14.5
43,2020,1087,AL,"Macon County, AL",17895,Suppressed,Suppressed,11.3,34888.0,19476.0,2952.68,5368.5,5780.09,3793.74,4543.0,27.9,859.0,10.5
44,2020,1089,AL,"Madison County, AL",379453,68,17.90,87.3,56499.0,389696.0,30356.24,72854.98,108144.11,168097.68,39100.0,10.5,9761.0,5.1
45,2020,1091,AL,"Marengo County, AL",18733,Suppressed,Suppressed,58.8,43596.0,19264.0,2510.22,6687.68,5844.7,3690.4,3370.0,18.3,545.0,6.9
46,2020,1093,AL,"Marion County, AL",29703,Suppressed,Suppressed,106.0,36927.0,29287.0,5554.46,10574.27,9831.69,3742.58,4843.0,16.8,746.0,5.6
47,2020,1095,AL,"Marshall County, AL",96990,Suppressed,Suppressed,92.2,40676.0,97608.0,16003.35,30260.88,30066.9,20755.86,14754.0,15.4,2083.0,4.7
48,2020,1097,AL,"Mobile County, AL",412716,46,11.10,98.0,42837.0,414250.0,49938.64,141148.87,122576.65,98639.12,71398.0,17.6,16931.0,8.7
49,2020,1099,AL,"Monroe County, AL",20459,Suppressed,Suppressed,53.7,39339.0,19723.0,3600.78,9145.17,5073.83,2639.21,4552.0,22.5,683.0,9.0
50,2020,1101,AL,"Montgomery County, AL",224639,19,8.46,86.3,47054.0,228448.0,27630.6,57956.86,64022.12,75029.43,44058.0,20.4,9282.0,8.6
51,2020,1103,AL,"Morgan County, AL",119883,14,11.68,67.9,44204.0,123336.0,18342.1,37403.5,36923.96,27333.32,16995.0,14.4,2966.0,5.0
52,2020,1105,AL,"Perry County, AL",8687,Suppressed,Suppressed,17.3,37160.0,8452.0,1859.02,3483.49,1702.65,1641.84,2443.0,30.7,414.0,12.0
53,2020,1107,AL,"Pickens County, AL",19793,Suppressed,Suppressed,43.7,38631.0,19062.0,3305.43,8372.44,5462.87,2632.47,4050.0,22.7,560.0,7.3
54,2020,1109,AL,"Pike County, AL",32966,Suppressed,Suppressed,38.5,40730.0,32981.0,4186.68,11966.66,7681.08,9164.55,6101.0,19.7,865.0,5.5
55,2020,1111,AL,"Randolph County, AL",22920,Suppressed,Suppressed,47.0,36845.0,21971.0,4515.24,7884.48,6784.32,3713.04,3933.0,17.5,507.0,5.3
56,2020,1113,AL,"Russell County, AL",58237,Suppressed,Suppressed,35.9,35878.0,59226.0,8560.84,17179.92,22421.25,10075.0,11702.0,20.3,1372.0,5.8
57,2020,1115,AL,"St. Clair County, AL",90739,17,18.74,63.0,43673.0,91333.0,12703.46,31940.13,29399.44,16786.72,9384.0,10.5,2240.0,5.4
58,2020,1117,AL,"Shelby County, AL",221428,24,10.80,64.6,60598.0,223708.0,14171.39,43842.74,64214.12,99199.74,15227.0,7.0,4986.0,4.2
59,2020,1119,AL,"Sumter County, AL",12225,Suppressed,Suppressed,41.9,35200.0,12295.0,1552.58,4095.38,4193.18,2383.88,3338.0,29.2,370.0,7.7
60,2020,1121,AL,"Talladega County, AL",79985,Suppressed,Suppressed,39.7,37554.0,82069.0,13677.44,27674.81,25915.14,12717.62,12958.0,16.9,2828.0,7.8
61,2020,1123,AL,"Tallapoosa County, AL",40133,Suppressed,Suppressed,43.4,44772.0,41229.0,7384.47,12682.03,12802.43,7264.07,6004.0,15.2,1382.0,7.6
62,2020,1125,AL,"Tuscaloosa County, AL",210758,23,10.90,86.6,40463.0,227153.0,21918.83,62805.88,61541.34,64491.95,28776.0,14.4,7551.0,7.3
63,2020,1127,AL,"Walker County, AL",63143,Suppressed,Suppressed,123.0,43568.0,65100.0,11176.31,21847.48,21216.05,8903.16,10219.0,16.4,1627.0,6.5
64,2020,1129,AL,"Washington County, AL",15976,Suppressed,Suppressed,29.4,41642.0,15296.0,2204.69,6789.8,4808.78,2172.74,2769.0,17.5,604.0,8.9
65,2020,1131,AL,"Wilcox County, AL",10206,Suppressed,Suppressed,16.0,36742.0,10518.0,2122.85,4000.75,2959.74,1122.66,2240.0,22.2,472.0,16.2
66,2020,1133,AL,"Winston County, AL",23508,Suppressed,Suppressed,65.0,38472.0,23491.0,4866.16,9097.6,6370.67,3173.58,4036.0,17.4,537.0,5.2
67,2020,2013,AK,"Aleutians East Borough, AK",3401,Suppressed,Suppressed,9.6,57605.0,3418.0,520.35,1414.82,925.07,540.76,514.0,15.1,104.0,4.1
68,2020,2016,AK,"Aleutians West Census Area, AK",5680,Suppressed,Suppressed,2.1,63509.0,5206.0,511.2,2465.12,1755.12,954.24,443.0,8.1,180.0,4.7
70,2020,2050,AK,"Bethel Census Area, AK",18437,Suppressed,Suppressed,8.8,46299.0,18648.0,3318.66,8591.64,4166.76,2341.5,4567.0,25.3,851.0,12.2
71,2020,2060,AK,"Bristol Bay Borough, AK",788,Suppressed,Suppressed,6.4,138387.0,831.0,41.76,237.98,334.9,174.15,82.0,10.7,31.0,7.9
72,2020,2068,AK,"Denali Borough, AK",2081,Suppressed,Suppressed,5.2,91233.0,1611.0,33.3,632.62,593.09,819.91,127.0,6.4,111.0,17.2
73,2020,2070,AK,"Dillingham Census Area, AK",4833,Suppressed,Suppressed,1.7,59097.0,4839.0,652.46,1928.37,1309.74,947.27,894.0,18.7,151.0,8.8
74,2020,2090,AK,"Fairbanks North Star Borough, AK",95651,10,10.45,29.7,61856.0,95286.0,5260.81,24486.66,34721.31,31182.23,6565.0,7.2,2969.0,6.7
75,2020,2100,AK,"Haines Borough, AK",2614,Suppressed,Suppressed,0.5,81888.0,2085.0,60.12,1029.92,852.16,669.18,251.0,9.6,167.0,16.4
76,2020,2105,AK,"Hoonah-Angoon Census Area, AK",2141,Suppressed,Suppressed,3.0,56226.0,2361.0,134.88,781.47,747.21,477.44,271.0,12.7,147.0,13.9
78,2020,2122,AK,"Kenai Peninsula Borough, AK",59414,Suppressed,Suppressed,47.3,56224.0,58893.0,3564.84,18358.93,21210.8,16279.44,6171.0,10.6,2527.0,9.5
79,2020,2130,AK,"Ketchikan Gateway Borough, AK",13747,Suppressed,Suppressed,49.5,67465.0,13902.0,824.82,3972.88,5320.09,3629.21,1127.0,8.3,658.0,10.2
80,2020,2150,AK,"Kodiak Island Borough, AK",12992,Suppressed,Suppressed,18.0,67027.0,13023.0,1234.24,3663.74,4313.34,3793.66,957.0,7.5,402.0,6.6
82,2020,2170,AK,"Matanuska-Susitna Borough, AK",110213,20,18.10,38.0,52335.0,107460.0,6943.42,36370.29,40778.81,26120.48,9365.0,8.7,4205.0,8.7
83,2020,2180,AK,"Nome Census Area, AK",9909,Suppressed,Suppressed,3.0,54275.0,10032.0,1228.72,4320.32,2546.61,1823.26,1825.0,18.8,431.0,10.9
84,2020,2185,AK,"North Slope Borough, AK",9294,Suppressed,Suppressed,2.2,75612.0,10993.0,1143.16,3847.72,2843.96,1449.86,1025.0,11.1,193.0,6.1
85,2020,2188,AK,"Northwest Arctic Borough, AK",7644,Suppressed,Suppressed,11.2,50076.0,7784.0,1200.11,3600.32,1742.83,1100.74,1397.0,18.5,371.0,12.6
87,2020,2198,AK,"Prince of Wales-Hyder Census Area, AK",6147,Suppressed,Suppressed,18.0,51123.0,5725.0,467.17,2342.01,2157.6,1180.22,975.0,15.9,275.0,9.7
89,2020,2230,AK,"Skagway Municipality, AK",1179,Suppressed,Suppressed,10.4,59045.0,1239.0,112.01,394.97,376.1,294.75,45.0,3.8,138.0,21.5
90,2020,2240,AK,"Southeast Fairbanks Census Area, AK",6957,Suppressed,Suppressed,14.1,54513.0,6831.0,514.82,2650.62,2441.91,1342.7,805.0,11.7,226.0,7.7
91,2020,2275,AK,"Wrangell City and Borough, AK",2510,Suppressed,Suppressed,3.9,56609.0,2130.0,381.52,928.7,818.26,381.52,264.0,10.6,88.0,9.2
93,2020,2290,AK,"Yukon-Koyukuk Census Area, AK",5077,Suppressed,Suppressed,2.6,58903.0,5300.0,654.93,2147.57,1619.56,654.93,1029.0,20.5,293.0,12.6
94,2020,4001,AZ,"Apache County, AZ",71875,16,22.26,4.9,42196.0,65897.0,12793.75,22281.25,27528.13,9200.0,22939.0,32.4,2444.0,12.5
95,2020,4003,AZ,"Cochise County, AZ",127450,29,22.80,34.4,46909.0,125398.0,14401.85,31097.8,49068.25,32882.1,17815.0,14.6,3431.0,6.8
96,2020,4005,AZ,"Coconino County, AZ",142481,30,21.10,32.2,54008.0,145116.0,12823.29,30348.45,44026.63,55140.15,22540.0,17.2,6823.0,9.5
97,2020,4007,AZ,"Gila County, AZ",54303,11,20.26,42.8,45429.0,53306.0,7113.69,15476.36,21558.29,10208.96,8911.0,16.7,1525.0,7.5
98,2020,4009,AZ,"Graham County, AZ",39211,Suppressed,Suppressed,51.6,35987.0,38614.0,6509.03,11606.46,15331.5,5764.02,5523.0,15.2,948.0,6.2
99,2020,4011,AZ,"Greenlee County, AZ",9341,Suppressed,Suppressed,1.6,43150.0,9522.0,1148.94,3045.17,3652.33,1494.56,776.0,8.4,225.0,5.2
100,2020,4012,AZ,"La Paz County, AZ",21480,Suppressed,Suppressed,14.8,46286.0,16580.0,3436.8,7303.2,8205.36,2534.64,4405.0,20.8,609.0,7.0
101,2020,4013,AZ,"Maricopa County, AZ",4579081,1308,28.60,42.4,56255.0,4438342.0,512857.07,1007397.82,1488201.33,1575203.86,520797.0,11.6,162209.0,7.2
102,2020,4015,AZ,"Mohave County, AZ",217206,36,16.60,66.4,38717.0,214070.0,27367.96,74501.66,83624.31,31712.08,32550.0,15.3,8374.0,9.7
103,2020,4017,AZ,"Navajo County, AZ",112112,21,18.70,43.6,38524.0,106802.0,17377.36,33073.04,43051.01,18722.7,25532.0,23.3,3882.0,9.9
104,2020,4019,AZ,"Pima County, AZ",1061175,308,29.00,46.9,50131.0,1045599.0,112484.55,227091.45,356554.8,365044.2,154790.0,14.9,35929.0,7.5
105,2020,4021,AZ,"Pinal County, AZ",480828,88,18.30,10.5,40979.0,429583.0,59622.67,146171.71,174059.74,100493.05,50810.0,11.1,13680.0,7.3
106,2020,4023,AZ,"Santa Cruz County, AZ",46808,16,34.18,5.9,43734.0,47653.0,10438.18,12216.89,13387.09,10765.84,7810.0,16.8,2098.0,11.2
107,2020,4025,AZ,"Yavapai County, AZ",240226,68,28.30,48.6,47203.0,237067.0,20178.98,60536.95,92727.24,66782.83,25610.0,10.8,7522.0,7.3
108,2020,4027,AZ,"Yuma County, AZ",217824,Suppressed,Suppressed,28.2,42732.0,204437.0,54673.82,57941.18,71010.62,34198.37,31745.0,15.2,16051.0,16.9
109,2020,5001,AR,"Arkansas County, AR",17383,Suppressed,Suppressed,70.7,52609.0,17105.0,2311.94,7283.48,4902.01,2885.58,2940.0,17.2,378.0,4.0
110,2020,5003,AR,"Ashley County, AR",19339,Suppressed,Suppressed,26.0,40395.0,18960.0,2862.17,9843.55,4312.6,2320.68,3279.0,17.1,672.0,9.4
111,2020,5005,AR,"Baxter County, AR",42242,Suppressed,Suppressed,136.7,40968.0,41655.0,4773.35,14657.97,14911.43,7857.01,6013.0,14.4,992.0,6.0
112,2020,5007,AR,"Benton County, AR",288774,22,7.60,37.1,86938.0,286353.0,29743.72,84899.56,74503.69,99915.8,25970.0,9.1,6333.0,4.5
