,Year,countycode,State,county,population,deaths,cruderate,DispenseRate,PersonalIncome,PerCapitaPersonalIncome,LessThanHS,HSDiplomaOnly,SomeCollege,BachelorOrHigher,PovertyPop,PovertyRate,UnemployedPop,UnemployedRate
0,2020,1001,AL,"Autauga County, AL",56145,Suppressed,Suppressed,98.3,45248.0,58877.0,583908.0,1841556.0,1611361.5,1577674.5,6242.0,11.2,1420.0,5.4
1,2020,1003,AL,"Baldwin County, AL",229287,41,17.9,65.0,51348.0,233140.0,2063583.0,6282463.8,7153754.4,7451827.5,20189.0,8.9,6159.0,6.2
2,2020,1005,AL,"Barbour County, AL",24589,Suppressed,Suppressed,22.8,37120.0,25180.0,597512.7,902416.3,683574.2,275396.8,5548.0,25.5,676.0,7.8
3,2020,1007,AL,"Bibb County, AL",22136,Suppressed,Suppressed,24.8,34598.0,22223.0,431652.0,971770.4,546759.2,263418.4,3549.0,17.8,639.0,7.3
4,2020,1009,AL,"Blount County, AL",57879,Suppressed,Suppressed,22.8,38351.0,59081.0,949215.6,2031552.9,1944734.4,862397.1,7525.0,13.1,1143.0,4.6
5,2020,1011,AL,"Bullock County, AL",9976,Suppressed,Suppressed,22.0,30429.0,10309.0,223462.4,412008.8,245409.6,116719.2,2552.0,30.8,295.0,6.0
6,2020,1013,AL,"Butler County, AL",19504,Suppressed,Suppressed,35.1,41151.0,19045.0,280857.6,881580.8,512955.2,273056.0,3954.0,20.6,891.0,9.6
7,2020,1015,AL,"Calhoun County, AL",113469,Suppressed,Suppressed,97.9,39546.0,116266.0,1679341.2,3926027.4,3528885.9,2212645.5,15915.0,14.5,3655.0,7.8
8,2020,1017,AL,"Chambers County, AL",32865,Suppressed,Suppressed,60.5,36299.0,34678.0,565278.0,1189713.0,1081258.5,450250.5,5266.0,16.3,1209.0,7.5
9,2020,1019,AL,"Cherokee County, AL",26294,Suppressed,Suppressed,50.6,39416.0,24958.0,531138.8,970248.6,791449.4,336563.2,3827.0,14.7,599.0,5.1
10,2020,1021,AL,"Chilton County, AL",44397,Suppressed,Suppressed,39.3,38551.0,45024.0,808025.4,1904631.3,1123244.1,599359.5,6094.0,13.9,1097.0,5.5
11,2020,1023,AL,"Choctaw County, AL",12418,Suppressed,Suppressed,37.8,41413.0,12619.0,240909.2,465675.0,389925.2,145290.6,2506.0,20.4,348.0,7.4
12,2020,1025,AL,"Clarke County, AL",23291,Suppressed,Suppressed,65.9,41862.0,22995.0,414579.8,964247.4,626527.9,323744.9,4471.0,19.5,783.0,9.9
13,2020,1027,AL,"Clay County, AL",13112,Suppressed,Suppressed,81.7,34660.0,14193.0,222904.0,500878.4,411716.8,175700.8,1818.0,14.2,275.0,4.5
14,2020,1029,AL,"Cleburne County, AL",14967,Suppressed,Suppressed,5.7,37670.0,15035.0,252942.3,561262.5,437036.4,245458.8,2099.0,14.2,296.0,5.1
15,2020,1031,AL,"Coffee County, AL",53230,Suppressed,Suppressed,74.4,45466.0,53565.0,723928.0,1490440.0,1900311.0,1208321.0,7303.0,13.9,1070.0,4.9
16,2020,1033,AL,"Colbert County, AL",55411,Suppressed,Suppressed,150.0,41088.0,57236.0,731425.2,2088994.7,1728823.2,991856.9,7864.0,14.4,1743.0,7.3
17,2020,1035,AL,"Conecuh County, AL",11851,Suppressed,Suppressed,113.3,37887.0,11552.0,146952.4,574773.5,315236.6,148137.5,2701.0,22.9,368.0,8.0
18,2020,1037,AL,"Coosa County, AL",10650,Suppressed,Suppressed,0.0,35542.0,10383.0,158685.0,445170.0,341865.0,119280.0,1808.0,17.4,272.0,6.1
19,2020,1039,AL,"Covington County, AL",36930,Suppressed,Suppressed,85.3,37777.0,37469.0,546564.0,1403340.0,1159602.0,583494.0,6219.0,17.1,842.0,5.5
20,2020,1041,AL,"Crenshaw County, AL",13681,Suppressed,Suppressed,33.4,39921.0,13157.0,257202.8,571865.8,314663.0,224368.4,2262.0,16.8,400.0,6.3
21,2020,1043,AL,"Cullman County, AL",84515,Suppressed,Suppressed,81.1,41925.0,88044.0,1335337.0,2738286.0,2983379.5,1394497.5,10381.0,12.5,1870.0,4.8
22,2020,1045,AL,"Dale County, AL",48959,Suppressed,Suppressed,31.8,40032.0,49214.0,744176.8,1512833.1,1728252.7,915533.3,7440.0,15.5,1135.0,5.4
23,2020,1047,AL,"Dallas County, AL",36098,Suppressed,Suppressed,62.7,38762.0,38190.0,508981.8,1378943.6,1140696.8,581177.8,9471.0,26.7,1745.0,11.8
24,2020,1049,AL,"DeKalb County, AL",71658,Suppressed,Suppressed,64.3,34999.0,71630.0,1562144.4,2400543.0,2171237.4,1031875.2,10778.0,15.2,1568.0,5.0
