,Year,countycode,State,county,population,deaths,cruderate,DispenseRate,PersonalIncome,PerCapitaPersonalIncome,LessThanHS,HSDiplomaOnly,SomeCollege,BachelorOrHigher,PovertyPop,PovertyRate,UnemployedPop,UnemployedRate
1,2020,1003,AL,"Baldwin County, AL",229287,41,17.9,65.0,51348.0,233140.0,2063583.0,6282463.8,7153754.4,7451827.5,20189.0,8.9,6159.0,6.2
27,2020,1055,AL,"Etowah County, AL",102371,13,12.70,102.8,39795.0,103393.0,1412719.8,3460139.8,3521562.4,1842678.0,15650.0,15.6,3505.0,8.5
36,2020,1073,AL,"Jefferson County, AL",655342,227,34.6,139.0,58053.0,673341.0,5898078.0,17301028.8,19594725.8,22740367.4,92310.0,14.4,21947.0,6.9
44,2020,1089,AL,"Madison County, AL",379453,68,17.9,87.3,56499.0,389696.0,3035624.0,7285497.6,10814410.5,16809767.9,39100.0,10.5,9761.0,5.1
48,2020,1097,AL,"Mobile County, AL",412716,46,11.1,98.0,42837.0,414250.0,4993863.6,14114887.2,12257665.2,9863912.4,71398.0,17.6,16931.0,8.7
50,2020,1101,AL,"Montgomery County, AL",224639,19,8.46,86.3,47054.0,228448.0,2763059.7,5795686.2,6402211.5,7502942.6,44058.0,20.4,9282.0,8.6
51,2020,1103,AL,"Morgan County, AL",119883,14,11.68,67.9,44204.0,123336.0,1834209.9,3740349.6,3692396.4,2733332.4,16995.0,14.4,2966.0,5.0
57,2020,1115,AL,"St. Clair County, AL",90739,17,18.74,63.0,43673.0,91333.0,1270346.0,3194012.8,2939943.6,1678671.5,9384.0,10.5,2240.0,5.4
58,2020,1117,AL,"Shelby County, AL",221428,24,10.8,64.6,60598.0,223708.0,1417139.2,4384274.4,6421412.0,9919974.4,15227.0,7.0,4986.0,4.2
62,2020,1125,AL,"Tuscaloosa County, AL",210758,23,10.9,86.6,40463.0,227153.0,2191883.2,6280588.4,6154133.6,6449194.8,28776.0,14.4,7551.0,7.3
69,2020,2020,AK,"Anchorage Borough, AK",287095,65,22.6,47.2,68815.0,290637.0,1665151.0,6804151.5,9675101.5,10565096.0,23200.0,8.3,11541.0,7.8
74,2020,2090,AK,"Fairbanks North Star Borough, AK",95651,10,10.45,29.7,61856.0,95286.0,526080.5,2448665.6,3472131.3,3118222.6,6565.0,7.2,2969.0,6.7
82,2020,2170,AK,"Matanuska-Susitna Borough, AK",110213,20,18.1,38.0,52335.0,107460.0,62426.7,326997.0,366633.0,234843.3,9365.0,8.7,4205.0,8.7
94,2020,4001,AZ,"Apache County, AZ",71875,16,22.26,4.9,42196.0,65897.0,382344.0,665880.0,822684.0,274944.0,22939.0,32.4,2444.0,12.5
95,2020,4003,AZ,"Cochise County, AZ",127450,29,22.8,34.4,46909.0,125398.0,51743615.3,111729576.4,176294618.5,118140289.8,17815.0,14.6,3431.0,6.8
96,2020,4005,AZ,"Coconino County, AZ",142481,30,21.1,32.2,54008.0,145116.0,1954854.0,4626487.8,6711665.4,8405872.2,22540.0,17.2,6823.0,9.5
97,2020,4007,AZ,"Gila County, AZ",54303,11,20.26,42.8,45429.0,53306.0,1468667.2,3195192.0,4450846.4,2107705.6,8911.0,16.7,1525.0,7.5
101,2020,4013,AZ,"Maricopa County, AZ",4579081,1308,28.6,42.4,56255.0,4438342.0,2690531.2,5284972.0,7807345.0,8263774.4,520797.0,11.6,162209.0,7.2
102,2020,4015,AZ,"Mohave County, AZ",217206,36,16.6,66.4,38717.0,214070.0,2744582.4,7471363.2,8386224.0,3180230.4,32550.0,15.3,8374.0,9.7
103,2020,4017,AZ,"Navajo County, AZ",112112,21,18.7,43.6,38524.0,106802.0,269436.5,512798.5,667507.2,290296.1,25532.0,23.3,3882.0,9.9
104,2020,4019,AZ,"Pima County, AZ",1061175,308,29,46.9,50131.0,1045599.0,204993.4,413854.6,649790.4,665261.6,154790.0,14.9,35929.0,7.5
105,2020,4021,AZ,"Pinal County, AZ",480828,88,18.3,10.5,40979.0,429583.0,523800.8,1284156.8,1529160.4,882857.8,50810.0,11.1,13680.0,7.3
106,2020,4023,AZ,"Santa Cruz County, AZ",46808,16,34.18,5.9,43734.0,47653.0,6439660.2,7537001.4,8258936.4,6641802.0,7810.0,16.8,2098.0,11.2
107,2020,4025,AZ,"Yavapai County, AZ",240226,68,28.3,48.6,47203.0,237067.0,316050.0,948150.0,1452325.0,1045975.0,25610.0,10.8,7522.0,7.3
112,2020,5007,AR,"Benton County, AR",288774,22,7.6,37.1,86938.0,286353.0,227660.9,649828.2,570257.4,764763.8,25970.0,9.1,6333.0,4.5
131,2020,5045,AR,"Faulkner County, AR",126919,17,13.39,64.0,43322.0,123666.0,146645.7,639715.3,639715.3,699223.7,14653.0,12.0,3390.0,5.5
