,Year,countycode,State,county,population,deaths,cruderate,DispenseRate,PersonalIncome,PerCapitaPersonalIncome,LessThanHS,HSDiplomaOnly,SomeCollege,BachelorOrHigher,PovertyPop,PovertyRate,UnemployedPop,UnemployedRate
1,2020,1003,AL,"Baldwin County, AL",229287,41,17.90,65.0,51348.0,233140.0,20635.83,62824.64,71537.54,74518.28,20189.0,8.9,6159.0,6.2
27,2020,1055,AL,"Etowah County, AL",102371,13,12.70,102.8,39795.0,103393.0,14127.2,34601.4,35215.62,18426.78,15650.0,15.6,3505.0,8.5
36,2020,1073,AL,"Jefferson County, AL",655342,227,34.60,139.0,58053.0,673341.0,58980.78,173010.29,195947.26,227403.67,92310.0,14.4,21947.0,6.9
44,2020,1089,AL,"Madison County, AL",379453,68,17.90,87.3,56499.0,389696.0,30356.24,72854.98,108144.11,168097.68,39100.0,10.5,9761.0,5.1
48,2020,1097,AL,"Mobile County, AL",412716,46,11.10,98.0,42837.0,414250.0,49938.64,141148.87,122576.65,98639.12,71398.0,17.6,16931.0,8.7
50,2020,1101,AL,"Montgomery County, AL",224639,19,8.46,86.3,47054.0,228448.0,27630.6,57956.86,64022.12,75029.43,44058.0,20.4,9282.0,8.6
51,2020,1103,AL,"Morgan County, AL",119883,14,11.68,67.9,44204.0,123336.0,18342.1,37403.5,36923.96,27333.32,16995.0,14.4,2966.0,5.0
57,2020,1115,AL,"St. Clair County, AL",90739,17,18.74,63.0,43673.0,91333.0,12703.46,31940.13,29399.44,16786.72,9384.0,10.5,2240.0,5.4
58,2020,1117,AL,"Shelby County, AL",221428,24,10.80,64.6,60598.0,223708.0,14171.39,43842.74,64214.12,99199.74,15227.0,7.0,4986.0,4.2
62,2020,1125,AL,"Tuscaloosa County, AL",210758,23,10.90,86.6,40463.0,227153.0,21918.83,62805.88,61541.34,64491.95,28776.0,14.4,7551.0,7.3
74,2020,2090,AK,"Fairbanks North Star Borough, AK",95651,10,10.45,29.7,61856.0,95286.0,5260.81,24486.66,34721.31,31182.23,6565.0,7.2,2969.0,6.7
