County,County Code,Deaths,Population,Crude Rate
"Autauga County, AL",1001,Suppressed,55601,Suppressed
"Baldwin County, AL",1003,14,218022,Unreliable
"Barbour County, AL",1005,Suppressed,24881,Suppressed
"Bibb County, AL",1007,Suppressed,22400,Suppressed
"Blount County, AL",1009,Suppressed,57840,Suppressed
"Bullock County, AL",1011,Suppressed,10138,Suppressed
"Butler County, AL",1013,Suppressed,19680,Suppressed
"Calhoun County, AL",1015,Suppressed,114277,Suppressed
"Chambers County, AL",1017,Suppressed,33615,Suppressed
"Cherokee County, AL",1019,Suppressed,26032,Suppressed
"Chilton County, AL",1021,Suppressed,44153,Suppressed
"Choctaw County, AL",1023,Suppressed,12841,Suppressed
"Clarke County, AL",1025,Suppressed,23920,Suppressed
"Clay County, AL",1027,Suppressed,13275,Suppressed
"Cleburne County, AL",1029,Suppressed,14987,Suppressed
"Coffee County, AL",1031,Suppressed,51909,Suppressed
"Colbert County, AL",1033,Suppressed,54762,Suppressed
"Conecuh County, AL",1035,Suppressed,12277,Suppressed
"Coosa County, AL",1037,Suppressed,10715,Suppressed
"Covington County, AL",1039,Suppressed,36986,Suppressed
"Crenshaw County, AL",1041,Suppressed,13824,Suppressed
"Cullman County, AL",1043,12,83442,Unreliable
"Dale County, AL",1045,Suppressed,48956,Suppressed
"Dallas County, AL",1047,Suppressed,38310,Suppressed
"DeKalb County, AL",1049,10,71385,Unreliable
"Elmore County, AL",1051,Suppressed,81887,Suppressed
"Escambia County, AL",1053,Suppressed,36748,Suppressed
"Etowah County, AL",1055,15,102501,Unreliable
"Fayette County, AL",1057,Suppressed,16433,Suppressed
"Franklin County, AL",1059,Suppressed,31363,Suppressed
"Geneva County, AL",1061,Suppressed,26314,Suppressed
"Greene County, AL",1063,Suppressed,8233,Suppressed
"Hale County, AL",1065,Suppressed,14726,Suppressed
"Henry County, AL",1067,Suppressed,17209,Suppressed
"Houston County, AL",1069,Suppressed,104722,Suppressed
"Jackson County, AL",1071,Suppressed,51736,Suppressed
"Jefferson County, AL",1073,145,659300,22
"Lamar County, AL",1075,Suppressed,13844,Suppressed
"Lauderdale County, AL",1077,Suppressed,92387,Suppressed
"Lawrence County, AL",1079,Suppressed,32957,Suppressed
"Lee County, AL",1081,Suppressed,163941,Suppressed
"Limestone County, AL",1083,Suppressed,96174,Suppressed
"Lowndes County, AL",1085,Suppressed,9974,Suppressed
"Macon County, AL",1087,Suppressed,18439,Suppressed
"Madison County, AL",1089,13,366519,Unreliable
"Marengo County, AL",1091,Suppressed,19066,Suppressed
"Marion County, AL",1093,Suppressed,29763,Suppressed
"Marshall County, AL",1095,Suppressed,96109,Suppressed
"Mobile County, AL",1097,33,413757,8
"Monroe County, AL",1099,Suppressed,21067,Suppressed
"Montgomery County, AL",1101,Suppressed,225763,Suppressed
"Morgan County, AL",1103,15,119089,Unreliable
"Perry County, AL",1105,Suppressed,9140,Suppressed
"Pickens County, AL",1107,Suppressed,19938,Suppressed
"Pike County, AL",1109,Suppressed,33338,Suppressed
"Randolph County, AL",1111,Suppressed,22725,Suppressed
"Russell County, AL",1113,Suppressed,57781,Suppressed
"St. Clair County, AL",1115,17,88690,Unreliable
"Shelby County, AL",1117,25,215707,11.6
"Sumter County, AL",1119,Suppressed,12691,Suppressed
"Talladega County, AL",1121,Suppressed,79828,Suppressed
"Tallapoosa County, AL",1123,Suppressed,40497,Suppressed
"Tuscaloosa County, AL",1125,12,208911,Unreliable
"Walker County, AL",1127,Suppressed,63711,Suppressed
"Washington County, AL",1129,Suppressed,16378,Suppressed
"Wilcox County, AL",1131,Suppressed,10627,Suppressed
"Winston County, AL",1133,Suppressed,23660,Suppressed
"Aleutians East Borough, AK",2013,Suppressed,3515,Suppressed
"Aleutians West Census Area, AK",2016,Suppressed,5723,Suppressed
"Anchorage Borough, AK",2020,35,291538,12
"Bethel Census Area, AK",2050,Suppressed,18216,Suppressed
"Bristol Bay Borough, AK",2060,Suppressed,877,Suppressed
"Denali Borough, AK",2068,Suppressed,2059,Suppressed
"Dillingham Census Area, AK",2070,Suppressed,5000,Suppressed
"Fairbanks North Star Borough, AK",2090,10,98971,Unreliable
"Haines Borough, AK",2100,Suppressed,2474,Suppressed
"Hoonah-Angoon Census Area, AK",2105,Suppressed,2151,Suppressed
"Juneau Borough, AK",2110,Suppressed,32113,Suppressed
"Kenai Peninsula Borough, AK",2122,13,58533,Unreliable
"Ketchikan Gateway Borough, AK",2130,Suppressed,13918,Suppressed
"Kodiak Island Borough, AK",2150,Suppressed,13345,Suppressed
"Lake and Peninsula Borough, AK",2164,Suppressed,1587,Suppressed
"Matanuska-Susitna Borough, AK",2170,13,107610,Unreliable
"Nome Census Area, AK",2180,Suppressed,10008,Suppressed
"North Slope Borough, AK",2185,Suppressed,9872,Suppressed
