County,County Code,Deaths,Population,Crude Rate
"Autauga County, AL",1001,Suppressed,56145,Suppressed
"Baldwin County, AL",1003,41,229287,17.9
"Barbour County, AL",1005,Suppressed,24589,Suppressed
"Bibb County, AL",1007,Suppressed,22136,Suppressed
"Blount County, AL",1009,Suppressed,57879,Suppressed
"Bullock County, AL",1011,Suppressed,9976,Suppressed
"Butler County, AL",1013,Suppressed,19504,Suppressed
"Calhoun County, AL",1015,Suppressed,113469,Suppressed
"Chambers County, AL",1017,Suppressed,32865,Suppressed
"Cherokee County, AL",1019,Suppressed,26294,Suppressed
"Chilton County, AL",1021,Suppressed,44397,Suppressed
"Choctaw County, AL",1023,Suppressed,12418,Suppressed
"Clarke County, AL",1025,Suppressed,23291,Suppressed
"Clay County, AL",1027,Suppressed,13112,Suppressed
"Cleburne County, AL",1029,Suppressed,14967,Suppressed
"Coffee County, AL",1031,Suppressed,53230,Suppressed
"Colbert County, AL",1033,Suppressed,55411,Suppressed
"Conecuh County, AL",1035,Suppressed,11851,Suppressed
"Coosa County, AL",1037,Suppressed,10650,Suppressed
"Covington County, AL",1039,Suppressed,36930,Suppressed
"Crenshaw County, AL",1041,Suppressed,13681,Suppressed
"Cullman County, AL",1043,Suppressed,84515,Suppressed
"Dale County, AL",1045,Suppressed,48959,Suppressed
"Dallas County, AL",1047,Suppressed,36098,Suppressed
"DeKalb County, AL",1049,Suppressed,71658,Suppressed
"Elmore County, AL",1051,Suppressed,82158,Suppressed
"Escambia County, AL",1053,Suppressed,36281,Suppressed
"Etowah County, AL",1055,13,102371,Unreliable
"Fayette County, AL",1057,Suppressed,16241,Suppressed
"Franklin County, AL",1059,Suppressed,31507,Suppressed
"Geneva County, AL",1061,Suppressed,26411,Suppressed
"Greene County, AL",1063,Suppressed,7990,Suppressed
"Hale County, AL",1065,Suppressed,14670,Suppressed
"Henry County, AL",1067,Suppressed,17223,Suppressed
"Houston County, AL",1069,Suppressed,106580,Suppressed
"Jackson County, AL",1071,Suppressed,51582,Suppressed
"Jefferson County, AL",1073,227,655342,34.6
"Lamar County, AL",1075,Suppressed,13764,Suppressed
"Lauderdale County, AL",1077,Suppressed,93368,Suppressed
"Lawrence County, AL",1079,Suppressed,32857,Suppressed
"Lee County, AL",1081,Suppressed,166831,Suppressed
"Limestone County, AL",1083,Suppressed,102228,Suppressed
"Lowndes County, AL",1085,Suppressed,9641,Suppressed
"Macon County, AL",1087,Suppressed,17895,Suppressed
"Madison County, AL",1089,68,379453,17.9
"Marengo County, AL",1091,Suppressed,18733,Suppressed
"Marion County, AL",1093,Suppressed,29703,Suppressed
"Marshall County, AL",1095,Suppressed,96990,Suppressed
"Mobile County, AL",1097,46,412716,11.1
"Monroe County, AL",1099,Suppressed,20459,Suppressed
"Montgomery County, AL",1101,19,224639,Unreliable
"Morgan County, AL",1103,14,119883,Unreliable
"Perry County, AL",1105,Suppressed,8687,Suppressed
"Pickens County, AL",1107,Suppressed,19793,Suppressed
"Pike County, AL",1109,Suppressed,32966,Suppressed
"Randolph County, AL",1111,Suppressed,22920,Suppressed
"Russell County, AL",1113,Suppressed,58237,Suppressed
"St. Clair County, AL",1115,17,90739,Unreliable
"Shelby County, AL",1117,24,221428,10.8
"Sumter County, AL",1119,Suppressed,12225,Suppressed
"Talladega County, AL",1121,Suppressed,79985,Suppressed
"Tallapoosa County, AL",1123,Suppressed,40133,Suppressed
"Tuscaloosa County, AL",1125,23,210758,10.9
"Walker County, AL",1127,Suppressed,63143,Suppressed
"Washington County, AL",1129,Suppressed,15976,Suppressed
"Wilcox County, AL",1131,Suppressed,10206,Suppressed
"Winston County, AL",1133,Suppressed,23508,Suppressed
"Aleutians East Borough, AK",2013,Suppressed,3401,Suppressed
"Aleutians West Census Area, AK",2016,Suppressed,5680,Suppressed
"Anchorage Borough, AK",2020,65,287095,22.6
"Bethel Census Area, AK",2050,Suppressed,18437,Suppressed
"Bristol Bay Borough, AK",2060,Suppressed,788,Suppressed
"Denali Borough, AK",2068,Suppressed,2081,Suppressed
"Dillingham Census Area, AK",2070,Suppressed,4833,Suppressed
"Fairbanks North Star Borough, AK",2090,10,95651,Unreliable
"Haines Borough, AK",2100,Suppressed,2614,Suppressed
"Hoonah-Angoon Census Area, AK",2105,Suppressed,2141,Suppressed
"Juneau Borough, AK",2110,Suppressed,31849,Suppressed
"Kenai Peninsula Borough, AK",2122,Suppressed,59414,Suppressed
"Ketchikan Gateway Borough, AK",2130,Suppressed,13747,Suppressed
"Kodiak Island Borough, AK",2150,Suppressed,12992,Suppressed
