FIPS_code,Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2020,PCTPOVALL_2020
1000,AL,Alabama,,,,,"714,568",14.9
1001,AL,Autauga County,2.0,2.0,2.0,2.0,"6,242",11.2
1003,AL,Baldwin County,4.0,5.0,3.0,2.0,"20,189",8.9
1005,AL,Barbour County,6.0,6.0,6.0,6.0,"5,548",25.5
1007,AL,Bibb County,1.0,1.0,1.0,1.0,"3,549",17.8
1009,AL,Blount County,1.0,1.0,1.0,1.0,"7,525",13.1
1011,AL,Bullock County,6.0,6.0,6.0,6.0,"2,552",30.8
1013,AL,Butler County,6.0,6.0,6.0,6.0,"3,954",20.6
1015,AL,Calhoun County,3.0,2.0,3.0,2.0,"15,915",14.5
1017,AL,Chambers County,6.0,5.0,6.0,5.0,"5,266",16.3
1019,AL,Cherokee County,8.0,6.0,6.0,6.0,"3,827",14.7
1021,AL,Chilton County,1.0,1.0,1.0,1.0,"6,094",13.9
1023,AL,Choctaw County,9.0,10.0,9.0,10.0,"2,506",20.4
1025,AL,Clarke County,7.0,11.0,7.0,11.0,"4,471",19.5
1027,AL,Clay County,9.0,10.0,9.0,10.0,"1,818",14.2
1029,AL,Cleburne County,8.0,4.0,8.0,4.0,"2,099",14.2
1031,AL,Coffee County,6.0,5.0,4.0,5.0,"7,303",13.9
1033,AL,Colbert County,3.0,2.0,3.0,2.0,"7,864",14.4
1035,AL,Conecuh County,9.0,11.0,7.0,11.0,"2,701",22.9
1037,AL,Coosa County,8.0,7.0,8.0,3.0,"1,808",17.4
1039,AL,Covington County,7.0,9.0,6.0,6.0,"6,219",17.1
1041,AL,Crenshaw County,8.0,6.0,8.0,6.0,"2,262",16.8
1043,AL,Cullman County,6.0,3.0,4.0,3.0,"10,381",12.5
1045,AL,Dale County,4.0,5.0,4.0,5.0,"7,440",15.5
1047,AL,Dallas County,4.0,5.0,4.0,5.0,"9,471",26.7
1049,AL,DeKalb County,6.0,6.0,6.0,6.0,"10,778",15.2
1051,AL,Elmore County,2.0,2.0,2.0,2.0,"8,972",11.5
1053,AL,Escambia County,6.0,6.0,6.0,6.0,"6,892",20.4
1055,AL,Etowah County,3.0,2.0,3.0,2.0,"15,650",15.6
1057,AL,Fayette County,6.0,6.0,6.0,6.0,"2,640",16.5
1059,AL,Franklin County,6.0,6.0,6.0,6.0,"5,357",17.2
1061,AL,Geneva County,3.0,2.0,3.0,2.0,"5,492",21.0
1063,AL,Greene County,3.0,2.0,8.0,6.0,"2,210",27.9
1065,AL,Hale County,3.0,2.0,3.0,2.0,"3,166",21.9
1067,AL,Henry County,3.0,2.0,3.0,2.0,"2,743",16.2
1069,AL,Houston County,3.0,2.0,3.0,2.0,"15,534",14.8
1071,AL,Jackson County,6.0,5.0,6.0,5.0,"7,777",15.3
1073,AL,Jefferson County,1.0,1.0,1.0,1.0,"92,310",14.4
1075,AL,Lamar County,9.0,10.0,8.0,7.0,"2,348",17.4
1077,AL,Lauderdale County,3.0,2.0,3.0,2.0,"12,630",13.9
1079,AL,Lawrence County,3.0,2.0,3.0,2.0,"5,005",15.4
1081,AL,Lee County,3.0,2.0,3.0,2.0,"28,901",17.9
