State,County,County_FIPSCode,OpioidDispenseRateper100,Year
AK,ANCHORAGE,2020,51.2,2018
AK,FAIRBANKS NORTH STAR,2090,36.8,2018
AK,JUNEAU,2110,54.9,2018
AK,KENAI PENINSULA,2122,76.3,2018
AK,KETCHIKAN GATEWAY,2130,58.6,2018
AK,KODIAK ISLAND,2150,23.2,2018
AK,MATANUSKA SUSITNA,2170,60.8,2018
AK,PETERSBURG,2195,65.0,2018
AK,PRINCE OF WALES HYDER,2198,29.0,2018
AK,SITKA,2220,0.1,2018
AK,VALDEZ CORDOVA,2261,23.6,2018
AL,AUTAUGA,1001,96.7,2018
AL,BALDWIN,1003,93.6,2018
AL,BARBOUR,1005,86.0,2018
AL,BIBB,1007,81.1,2018
AL,BLOUNT,1009,45.4,2018
AL,BULLOCK,1011,24.8,2018
AL,BUTLER,1013,106.0,2018
AL,CALHOUN,1015,129.9,2018
AL,CHAMBERS,1017,117.1,2018
AL,CHEROKEE,1019,129.2,2018
AL,CHILTON,1021,96.0,2018
AL,CHOCTAW,1023,67.4,2018
AL,CLARKE,1025,144.4,2018
AL,CLAY,1027,105.7,2018
AL,CLEBURNE,1029,38.2,2018
AL,COFFEE,1031,114.2,2018
AL,COLBERT,1033,167.0,2018
AL,CONECUH,1035,88.5,2018
AL,COOSA,1037,24.4,2018
AL,COVINGTON,1039,135.1,2018
AL,CRENSHAW,1041,59.8,2018
AL,CULLMAN,1043,126.7,2018
AL,DALE,1045,69.6,2018
AL,DALLAS,1047,82.0,2018
AL,DE KALB,1049,98.2,2018
AL,ELMORE,1051,98.5,2018
AL,ESCAMBIA,1053,137.4,2018
AL,ETOWAH,1055,126.1,2018
AL,FAYETTE,1057,92.2,2018
AL,FRANKLIN,1059,152.3,2018
AL,GENEVA,1061,38.9,2018
AL,GREENE,1063,36.8,2018
AL,HALE,1065,74.6,2018
AL,HENRY,1067,21.3,2018
AL,HOUSTON,1069,127.8,2018
AL,JACKSON,1071,130.5,2018
AL,JEFFERSON,1073,95.8,2018
AL,LAMAR,1075,82.0,2018
AL,LAUDERDALE,1077,100.8,2018
AL,LAWRENCE,1079,88.0,2018
AL,LEE,1081,52.2,2018
AL,LIMESTONE,1083,61.4,2018
AL,MACON,1087,42.4,2018
AL,MADISON,1089,85.4,2018
AL,MARENGO,1091,147.9,2018
AL,MARION,1093,140.2,2018
AL,MARSHALL,1095,151.9,2018
AL,MOBILE,1097,107.6,2018
AL,MONROE,1099,109.8,2018
AL,MONTGOMERY,1101,70.3,2018
AL,MORGAN,1103,108.9,2018
AL,PERRY,1105,0.1,2018
AL,PICKENS,1107,63.4,2018
AL,PIKE,1109,90.1,2018
AL,RANDOLPH,1111,86.0,2018
AL,RUSSELL,1113,92.9,2018
AL,SAINT CLAIR,1115,100.1,2018
AL,SHELBY,1117,81.2,2018
AL,SUMTER,1119,27.8,2018
AL,TALLADEGA,1121,108.5,2018
AL,TALLAPOOSA,1123,93.0,2018
AL,TUSCALOOSA,1125,89.1,2018
AL,WALKER,1127,204.8,2018
AL,WASHINGTON,1129,44.0,2018
AL,WILCOX,1131,50.9,2018
AL,WINSTON,1133,143.4,2018
AR,ARKANSAS,5001,110.4,2018
AR,ASHLEY,5003,100.7,2018
AR,BAXTER,5005,107.3,2018
AR,BENTON,5007,69.1,2018
AR,BOONE,5009,126.0,2018
AR,BRADLEY,5011,97.7,2018
AR,CALHOUN,5013,65.4,2018
AR,CARROLL,5015,70.3,2018
AR,CHICOT,5017,79.5,2018
AR,CLARK,5019,97.4,2018
AR,CLAY,5021,105.9,2018
AR,CLEBURNE,5023,102.7,2018
AR,CLEVELAND,5025,9.7,2018
AR,COLUMBIA,5027,93.9,2018
AR,CONWAY,5029,103.3,2018
AR,CRAIGHEAD,5031,125.8,2018
AR,CRAWFORD,5033,132.1,2018
AR,CRITTENDEN,5035,93.5,2018
AR,CROSS,5037,98.5,2018
AR,DALLAS,5039,74.2,2018
AR,DESHA,5041,102.2,2018
AR,DREW,5043,113.0,2018
AR,FAULKNER,5045,76.0,2018
AR,FRANKLIN,5047,13.7,2018
AR,FULTON,5049,98.9,2018
AR,GARLAND,5051,138.6,2018
AR,GRANT,5053,61.1,2018
AR,GREENE,5055,155.7,2018
AR,HEMPSTEAD,5057,100.9,2018
AR,HOT SPRING,5059,82.6,2018
AR,HOWARD,5061,138.0,2018
AR,INDEPENDENCE,5063,129.3,2018
AR,IZARD,5065,93.4,2018
AR,JACKSON,5067,115.6,2018
AR,JEFFERSON,5069,96.0,2018
AR,JOHNSON,5071,104.3,2018
AR,LAFAYETTE,5073,99.8,2018
AR,LAWRENCE,5075,27.0,2018
AR,LEE,5077,56.4,2018
AR,LINCOLN,5079,50.6,2018
AR,LITTLE RIVER,5081,145.3,2018
AR,LOGAN,5083,27.8,2018
AR,LONOKE,5085,85.5,2018
AR,MADISON,5087,69.5,2018
AR,MARION,5089,56.3,2018
AR,MILLER,5091,94.2,2018
AR,MISSISSIPPI,5093,125.5,2018
AR,MONROE,5095,75.6,2018
AR,MONTGOMERY,5097,74.4,2018
AR,OUACHITA,5103,123.8,2018
AR,PERRY,5105,48.3,2018
AR,PHILLIPS,5107,120.8,2018
AR,PIKE,5109,76.2,2018
AR,POINSETT,5111,109.2,2018
AR,POLK,5113,97.1,2018
AR,POPE,5115,95.3,2018
AR,PRAIRIE,5117,68.9,2018
AR,PULASKI,5119,87.1,2018
AR,RANDOLPH,5121,83.6,2018
AR,SAINT FRANCIS,5123,76.3,2018
AR,SALINE,5125,80.8,2018
AR,SCOTT,5127,110.0,2018
AR,SEARCY,5129,74.3,2018
AR,SEBASTIAN,5131,141.9,2018
AR,SEVIER,5133,43.4,2018
AR,SHARP,5135,116.3,2018
AR,STONE,5137,145.4,2018
AR,UNION,5139,107.1,2018
AR,VAN BUREN,5141,97.8,2018
AR,WASHINGTON,5143,76.2,2018
AR,WHITE,5145,98.6,2018
AR,WOODRUFF,5147,8.1,2018
AR,YELL,5149,55.2,2018
AZ,APACHE,4001,15.9,2018
AZ,COCHISE,4003,60.3,2018
AZ,COCONINO,4005,34.7,2018
AZ,GILA,4007,73.7,2018
AZ,GRAHAM,4009,66.2,2018
AZ,LA PAZ,4012,50.3,2018
AZ,MARICOPA,4013,48.6,2018
AZ,MOHAVE,4015,94.1,2018
AZ,NAVAJO,4017,56.5,2018
AZ,PIMA,4019,56.5,2018
AZ,PINAL,4021,40.2,2018
AZ,SANTA CRUZ,4023,16.6,2018
AZ,YAVAPAI,4025,71.9,2018
AZ,YUMA,4027,37.2,2018
CA,ALAMEDA,6001,22.0,2018
CA,AMADOR,6005,85.1,2018
CA,BUTTE,6007,89.4,2018
CA,CALAVERAS,6009,58.7,2018
CA,COLUSA,6011,30.9,2018
CA,CONTRA COSTA,6013,31.4,2018
CA,DEL NORTE,6015,97.3,2018
CA,EL DORADO,6017,47.2,2018
CA,FRESNO,6019,48.3,2018
CA,GLENN,6021,67.4,2018
CA,HUMBOLDT,6023,67.0,2018
CA,IMPERIAL,6025,44.1,2018
CA,INYO,6027,41.6,2018
CA,KERN,6029,48.5,2018
CA,KINGS,6031,54.5,2018
CA,LAKE,6033,77.3,2018
CA,LASSEN,6035,51.7,2018
CA,LOS ANGELES,6037,27.4,2018
CA,MADERA,6039,37.0,2018
CA,MARIN,6041,28.4,2018
CA,MARIPOSA,6043,47.6,2018
CA,MENDOCINO,6045,81.7,2018
CA,MERCED,6047,47.9,2018
CA,MODOC,6049,50.5,2018
CA,MONO,6051,37.9,2018
CA,MONTEREY,6053,38.2,2018
CA,NAPA,6055,32.1,2018
CA,NEVADA,6057,61.8,2018
CA,ORANGE,6059,33.8,2018
CA,PLACER,6061,49.3,2018
CA,PLUMAS,6063,66.6,2018
CA,RIVERSIDE,6065,39.8,2018
CA,SACRAMENTO,6067,38.2,2018
CA,SAN BENITO,6069,36.1,2018
CA,SAN BERNARDINO,6071,41.6,2018
CA,SAN DIEGO,6073,29.9,2018
CA,SAN FRANCISCO,6075,23.0,2018
CA,SAN JOAQUIN,6077,40.4,2018
CA,SAN LUIS OBISPO,6079,58.6,2018
CA,SAN MATEO,6081,23.8,2018
CA,SANTA BARBARA,6083,42.4,2018
CA,SANTA CLARA,6085,18.3,2018
CA,SANTA CRUZ,6087,41.6,2018
CA,SHASTA,6089,84.3,2018
CA,SIERRA,6091,5.5,2018
CA,SISKIYOU,6093,93.3,2018
CA,SOLANO,6095,31.8,2018
CA,SONOMA,6097,40.1,2018
CA,STANISLAUS,6099,65.6,2018
CA,SUTTER,6101,76.3,2018
CA,TEHAMA,6103,70.8,2018
CA,TRINITY,6105,72.7,2018
CA,TULARE,6107,51.2,2018
CA,TUOLUMNE,6109,85.8,2018
CA,VENTURA,6111,43.9,2018
CA,YOLO,6113,35.7,2018
CA,YUBA,6115,61.7,2018
CO,ADAMS,8001,39.7,2018
CO,ALAMOSA,8003,98.4,2018
CO,ARAPAHOE,8005,44.0,2018
CO,ARCHULETA,8007,59.1,2018
CO,BACA,8009,67.6,2018
CO,BENT,8011,34.3,2018
CO,BOULDER,8013,37.0,2018
CO,BROOMFIELD,8014,41.1,2018
CO,CHAFFEE,8015,71.9,2018
CO,CHEYENNE,8017,48.6,2018
CO,CLEAR CREEK,8019,27.3,2018
CO,CONEJOS,8021,0.0,2018
CO,CROWLEY,8025,23.1,2018
CO,DELTA,8029,65.6,2018
CO,DENVER,8031,29.2,2018
CO,DOUGLAS,8035,41.7,2018
CO,EAGLE,8037,33.4,2018
CO,EL PASO,8041,51.9,2018
CO,ELBERT,8039,27.4,2018
CO,FREMONT,8043,55.9,2018
CO,GARFIELD,8045,51.0,2018
CO,GRAND,8049,33.5,2018
CO,GUNNISON,8051,36.7,2018
CO,HUERFANO,8055,74.1,2018
CO,JEFFERSON,8059,53.2,2018
CO,KIOWA,8061,93.2,2018
CO,KIT CARSON,8063,45.0,2018
CO,LA PLATA,8067,42.5,2018
CO,LAKE,8065,39.2,2018
CO,LARIMER,8069,44.8,2018
CO,LAS ANIMAS,8071,100.8,2018
CO,LINCOLN,8073,34.2,2018
CO,LOGAN,8075,68.9,2018
CO,MESA,8077,59.5,2018
CO,MOFFAT,8081,75.8,2018
CO,MONTEZUMA,8083,63.8,2018
CO,MONTROSE,8085,65.8,2018
CO,MORGAN,8087,50.5,2018
CO,OTERO,8089,84.2,2018
CO,OURAY,8091,1.5,2018
CO,PITKIN,8097,17.9,2018
CO,PROWERS,8099,55.6,2018
CO,PUEBLO,8101,83.4,2018
CO,RIO BLANCO,8103,26.1,2018
CO,RIO GRANDE,8105,62.3,2018
CO,ROUTT,8107,40.0,2018
CO,SAN MIGUEL,8113,20.3,2018
CO,SUMMIT,8117,45.9,2018
CO,TELLER,8119,74.9,2018
CO,WELD,8123,40.6,2018
CO,YUMA,8125,47.0,2018
CT,FAIRFIELD,9001,33.8,2018
CT,HARTFORD,9003,43.3,2018
CT,LITCHFIELD,9005,47.0,2018
CT,MIDDLESEX,9007,49.6,2018
CT,NEW HAVEN,9009,48.6,2018
CT,NEW LONDON,9011,48.5,2018
CT,TOLLAND,9013,37.8,2018
CT,WINDHAM,9015,54.4,2018
DC,DISTRICT OF COLUMBIA,11001,25.0,2018
DE,KENT,10001,58.6,2018
DE,NEW CASTLE,10003,57.5,2018
DE,SUSSEX,10005,69.8,2018
FL,ALACHUA,12001,57.8,2018
FL,BAKER,12003,89.0,2018
FL,BAY,12005,97.5,2018
FL,BRADFORD,12007,70.4,2018
FL,BREVARD,12009,74.2,2018
FL,BROWARD,12011,39.0,2018
FL,CALHOUN,12013,65.8,2018
FL,CHARLOTTE,12015,66.5,2018
FL,CITRUS,12017,89.9,2018
FL,CLAY,12019,69.9,2018
FL,COLLIER,12021,45.4,2018
FL,COLUMBIA,12023,94.9,2018
FL,DE SOTO,12027,47.0,2018
FL,DIXIE,12029,39.1,2018
FL,DUVAL,12031,70.9,2018
FL,ESCAMBIA,12033,89.4,2018
FL,FLAGLER,12035,66.2,2018
FL,FRANKLIN,12037,55.6,2018
FL,GADSDEN,12039,46.0,2018
FL,GILCHRIST,12041,37.1,2018
FL,GLADES,12043,3.8,2018
FL,GULF,12045,81.2,2018
FL,HAMILTON,12047,33.8,2018
FL,HARDEE,12049,31.5,2018
FL,HENDRY,12051,56.0,2018
FL,HERNANDO,12053,91.9,2018
FL,HIGHLANDS,12055,65.7,2018
FL,HILLSBOROUGH,12057,52.6,2018
FL,HOLMES,12059,70.9,2018
FL,INDIAN RIVER,12061,81.2,2018
FL,JACKSON,12063,91.0,2018
FL,JEFFERSON,12065,39.9,2018
FL,LAFAYETTE,12067,42.3,2018
