Year,countycode,State,county,population,deaths,cruderate,DispenseRate,PersonalIncome,PerCapitaPersonalIncome,LessThanHS,HSDiplomaOnly,SomeCollege,BachelorOrHigher,PovertyPop,PovertyRate,UnemployedPop,UnemployedRate,LessThanHSRate,HSDiplomaOnlyRate,SomeCollegeRate,BachelorOrHigherRate
2020,1001,AL,"Autauga County, AL",56145,Suppressed,Suppressed,98.3,45248,58877,5839.08,18415.56,16113.62,15776.75,6242,11.2,1420,5.4,10.4,32.8,28.7,28.1
2020,1003,AL,"Baldwin County, AL",229287,41,17.9,65,51348,233140,20635.83,62824.64,71537.54,74518.28,20189,8.9,6159,6.2,9,27.4,31.2,32.5
2020,1005,AL,"Barbour County, AL",24589,Suppressed,Suppressed,22.8,37120,25180,5975.13,9024.16,6835.74,2753.97,5548,25.5,676,7.8,24.3,36.7,27.8,11.2
2020,1007,AL,"Bibb County, AL",22136,Suppressed,Suppressed,24.8,34598,22223,4316.52,9717.7,5467.59,2634.18,3549,17.8,639,7.3,19.5,43.9,24.7,11.9
2020,1009,AL,"Blount County, AL",57879,Suppressed,Suppressed,22.8,38351,59081,9492.16,20315.53,19447.34,8623.97,7525,13.1,1143,4.6,16.4,35.1,33.6,14.9
2020,1011,AL,"Bullock County, AL",9976,Suppressed,Suppressed,22,30429,10309,2234.62,4120.09,2454.1,1167.19,2552,30.8,295,6,22.4,41.3,24.6,11.7
2020,1013,AL,"Butler County, AL",19504,Suppressed,Suppressed,35.1,41151,19045,2808.58,8815.81,5129.55,2730.56,3954,20.6,891,9.6,14.4,45.2,26.3,14
2020,1015,AL,"Calhoun County, AL",113469,Suppressed,Suppressed,97.9,39546,116266,16793.41,39260.27,35288.86,22126.46,15915,14.5,3655,7.8,14.8,34.6,31.1,19.5
2020,1017,AL,"Chambers County, AL",32865,Suppressed,Suppressed,60.5,36299,34678,5652.78,11897.13,10812.59,4502.51,5266,16.3,1209,7.5,17.2,36.2,32.9,13.7
2020,1019,AL,"Cherokee County, AL",26294,Suppressed,Suppressed,50.6,39416,24958,5311.39,9702.49,7914.49,3365.63,3827,14.7,599,5.1,20.2,36.9,30.1,12.8
2020,1021,AL,"Chilton County, AL",44397,Suppressed,Suppressed,39.3,38551,45024,8080.25,19046.31,11232.44,5993.6,6094,13.9,1097,5.5,18.2,42.9,25.3,13.5
2020,1023,AL,"Choctaw County, AL",12418,Suppressed,Suppressed,37.8,41413,12619,2409.09,4656.75,3899.25,1452.91,2506,20.4,348,7.4,19.4,37.5,31.4,11.7
2020,1025,AL,"Clarke County, AL",23291,Suppressed,Suppressed,65.9,41862,22995,4145.8,9642.47,6265.28,3237.45,4471,19.5,783,9.9,17.8,41.4,26.9,13.9
2020,1027,AL,"Clay County, AL",13112,Suppressed,Suppressed,81.7,34660,14193,2229.04,5008.78,4117.17,1757.01,1818,14.2,275,4.5,17,38.2,31.4,13.4
2020,1029,AL,"Cleburne County, AL",14967,Suppressed,Suppressed,5.7,37670,15035,2529.42,5612.63,4370.36,2454.59,2099,14.2,296,5.1,16.9,37.5,29.2,16.4
2020,1031,AL,"Coffee County, AL",53230,Suppressed,Suppressed,74.4,45466,53565,7239.28,14904.4,19003.11,12083.21,7303,13.9,1070,4.9,13.6,28,35.7,22.7
2020,1033,AL,"Colbert County, AL",55411,Suppressed,Suppressed,150,41088,57236,7314.25,20889.95,17288.23,9918.57,7864,14.4,1743,7.3,13.2,37.7,31.2,17.9
2020,1035,AL,"Conecuh County, AL",11851,Suppressed,Suppressed,113.3,37887,11552,1469.52,5747.74,3152.37,1481.38,2701,22.9,368,8,12.4,48.5,26.6,12.5
2020,1037,AL,"Coosa County, AL",10650,Suppressed,Suppressed,0,35542,10383,1586.85,4451.7,3418.65,1192.8,1808,17.4,272,6.1,14.9,41.8,32.1,11.2
2020,1039,AL,"Covington County, AL",36930,Suppressed,Suppressed,85.3,37777,37469,5465.64,14033.4,11596.02,5834.94,6219,17.1,842,5.5,14.8,38,31.4,15.8
2020,1041,AL,"Crenshaw County, AL",13681,Suppressed,Suppressed,33.4,39921,13157,2572.03,5718.66,3146.63,2243.68,2262,16.8,400,6.3,18.8,41.8,23,16.4
2020,1043,AL,"Cullman County, AL",84515,Suppressed,Suppressed,81.1,41925,88044,13353.37,27382.86,29833.8,13944.98,10381,12.5,1870,4.8,15.8,32.4,35.3,16.5
2020,1045,AL,"Dale County, AL",48959,Suppressed,Suppressed,31.8,40032,49214,7441.77,15128.33,17282.53,9155.33,7440,15.5,1135,5.4,15.2,30.9,35.3,18.7
2020,1047,AL,"Dallas County, AL",36098,Suppressed,Suppressed,62.7,38762,38190,5089.82,13789.44,11406.97,5811.78,9471,26.7,1745,11.8,14.1,38.2,31.6,16.1
2020,1049,AL,"DeKalb County, AL",71658,Suppressed,Suppressed,64.3,34999,71630,15621.44,24005.43,21712.37,10318.75,10778,15.2,1568,5,21.8,33.5,30.3,14.4
2020,1051,AL,"Elmore County, AL",82158,Suppressed,Suppressed,26.8,44683,88116,10187.59,26372.72,25468.98,20210.87,8972,11.5,2005,5.3,12.4,32.1,31,24.6
2020,1053,AL,"Escambia County, AL",36281,Suppressed,Suppressed,81.2,36134,36665,6639.42,15854.8,9215.37,4535.13,6892,20.4,993,6.8,18.3,43.7,25.4,12.5
2020,1055,AL,"Etowah County, AL",102371,13,12.7,102.8,39795,103393,14127.2,34601.4,35215.62,18426.78,15650,15.6,3505,8.5,13.8,33.8,34.4,18
2020,1057,AL,"Fayette County, AL",16241,Suppressed,Suppressed,53.6,37852,16307,2760.97,6658.81,4904.78,1916.44,2640,16.5,370,5.6,17,41,30.2,11.8
2020,1059,AL,"Franklin County, AL",31507,Suppressed,Suppressed,89.4,37151,32063,6458.94,13295.95,7246.61,4505.5,5357,17.2,723,5,20.5,42.2,23,14.3
2020,1061,AL,"Geneva County, AL",26411,Suppressed,Suppressed,17,38132,26675,4621.93,9666.43,8557.16,3565.49,5492,21,509,4.6,17.5,36.6,32.4,13.5
