Year,countycode,State,county,population,deaths,cruderate,DispenseRate,PersonalIncome,PerCapitaPersonalIncome,LessThanHS,HSDiplomaOnly,SomeCollege,BachelorOrHigher,PovertyPop,PovertyRate,UnemployedPop,UnemployedRate
2020,1001,AL,"Autauga County, AL",56145,Suppressed,Suppressed,98.3,45248,58877,583908,1841556,1611361.5,1577674.5,6242,11.2,1420,5.4
2020,1003,AL,"Baldwin County, AL",229287,41,17.9,65,51348,233140,2063583,6282463.8,7153754.4,7451827.5,20189,8.9,6159,6.2
2020,1005,AL,"Barbour County, AL",24589,Suppressed,Suppressed,22.8,37120,25180,597512.7,902416.3,683574.2,275396.8,5548,25.5,676,7.8
2020,1007,AL,"Bibb County, AL",22136,Suppressed,Suppressed,24.8,34598,22223,431652,971770.4,546759.2,263418.4,3549,17.8,639,7.3
2020,1009,AL,"Blount County, AL",57879,Suppressed,Suppressed,22.8,38351,59081,949215.6,2031552.9,1944734.4,862397.1,7525,13.1,1143,4.6
2020,1011,AL,"Bullock County, AL",9976,Suppressed,Suppressed,22,30429,10309,223462.4,412008.8,245409.6,116719.2,2552,30.8,295,6
2020,1013,AL,"Butler County, AL",19504,Suppressed,Suppressed,35.1,41151,19045,280857.6,881580.8,512955.2,273056,3954,20.6,891,9.6
2020,1015,AL,"Calhoun County, AL",113469,Suppressed,Suppressed,97.9,39546,116266,1679341.2,3926027.4,3528885.9,2212645.5,15915,14.5,3655,7.8
2020,1017,AL,"Chambers County, AL",32865,Suppressed,Suppressed,60.5,36299,34678,565278,1189713,1081258.5,450250.5,5266,16.3,1209,7.5
2020,1019,AL,"Cherokee County, AL",26294,Suppressed,Suppressed,50.6,39416,24958,531138.8,970248.6,791449.4,336563.2,3827,14.7,599,5.1
2020,1021,AL,"Chilton County, AL",44397,Suppressed,Suppressed,39.3,38551,45024,808025.4,1904631.3,1123244.1,599359.5,6094,13.9,1097,5.5
2020,1023,AL,"Choctaw County, AL",12418,Suppressed,Suppressed,37.8,41413,12619,240909.2,465675,389925.2,145290.6,2506,20.4,348,7.4
2020,1025,AL,"Clarke County, AL",23291,Suppressed,Suppressed,65.9,41862,22995,414579.8,964247.4,626527.9,323744.9,4471,19.5,783,9.9
2020,1027,AL,"Clay County, AL",13112,Suppressed,Suppressed,81.7,34660,14193,222904,500878.4,411716.8,175700.8,1818,14.2,275,4.5
2020,1029,AL,"Cleburne County, AL",14967,Suppressed,Suppressed,5.7,37670,15035,252942.3,561262.5,437036.4,245458.8,2099,14.2,296,5.1
2020,1031,AL,"Coffee County, AL",53230,Suppressed,Suppressed,74.4,45466,53565,723928,1490440,1900311,1208321,7303,13.9,1070,4.9
2020,1033,AL,"Colbert County, AL",55411,Suppressed,Suppressed,150,41088,57236,731425.2,2088994.7,1728823.2,991856.9,7864,14.4,1743,7.3
