Year,FIPS_code,State,Area name,Number of adults with less than HS diploma,Number of adults with HS diploma only,Number of adults completing some college or associate's degree,Number of adults with a bachelor's degree or higher
2017,1001,AL,Autauga County,577241.6,1820531.2,1592964.8,1559662.4
2017,1003,AL,Baldwin County,1913652,5826007.2,6633993.6,6910410
2017,1005,AL,Barbour County,614061,927409,702506,283024
2017,1007,AL,Bibb County,442026,995125.2,559899.6,269749.2
2017,1009,AL,Blount County,951413.2,2036256.3,1949236.8,864393.7
2017,1011,AL,Bullock County,230921.6,425761.7,253601.4,120615.3
2017,1013,AL,Butler County,285480,896090,521397.5,277550
2017,1015,AL,Calhoun County,1697974.4,3969588.8,3568040.8,2237196
2017,1017,AL,Chambers County,579863.6,1220410.6,1109157.7,461868.1
2017,1019,AL,Cherokee County,522311.4,954123.3,778295.7,330969.6
2017,1021,AL,Chilton County,802019.4,1890474.3,1114895.1,594904.5
2017,1023,AL,Choctaw County,251133,485437.5,406473,151456.5
2017,1025,AL,Clarke County,428677.4,997036.2,647832.7,334753.7
2017,1027,AL,Clay County,227239,510619.4,419723.8,179117.8
2017,1029,AL,Cleburne County,251810,558750,435080,244360
2017,1031,AL,Coffee County,705486.4,1452472,1851901.8,1177539.8
2017,1033,AL,Colbert County,719400,2054650,1700400,975550
2017,1035,AL,Conecuh County,154615.6,604746.5,331675.4,155862.5
2017,1037,AL,Coosa County,160234.6,449517.2,345203.4,120444.8
2017,1039,AL,Covington County,548961.6,1409496,1164688.8,586053.6
2017,1041,AL,Crenshaw County,260774.8,579807.8,319033,227484.4
2017,1043,AL,Cullman County,1307529,2681262,2921251.5,1365457.5
2017,1045,AL,Dale County,748235.2,1521083.4,1737677.8,920526.2
2017,1047,AL,Dallas County,552931.5,1498013,1239194,631361.5
2017,1049,AL,DeKalb County,1561250.6,2399169.5,2169995.1,1031284.8
2017,1051,AL,Elmore County,1012794.8,2621831.7,2531987,2009254.2
2017,1053,AL,Escambia County,685280.1,1636433.9,951153.8,468087.5
2017,1055,AL,Etowah County,1418019,3473119,3534772,1849590
2017,1057,AL,Fayette County,279956,675188,497333.6,194322.4
2017,1059,AL,Franklin County,645647.5,1329089,724385,450378.5
2017,1061,AL,Geneva County,462367.5,967008.6,856040.4,356683.5
2017,1063,AL,Greene County,129948,327369,270725,105791
2017,1065,AL,Hale County,276984.4,579149.2,391036.8,234029.6
2017,1067,AL,Henry County,320648.9,552133.4,471542.5,370375.2
2017,1069,AL,Houston County,1273021.2,3349506.6,3485156.4,2316481.2
2017,1071,AL,Jackson County,913598.4,1988114.7,1458642.9,835734.9
2017,1073,AL,Jefferson County,5932773,17402800.8,19709990.3,22874135.9
2017,1075,AL,Lamar County,244055,581548.2,429536.8,139460
2017,1077,AL,Lauderdale County,1045679.4,3248083.8,2600317.8,2359719
2017,1079,AL,Lawrence County,555223.2,1364923.7,879103.4,505649.7
2017,1081,AL,Lee County,1389794.4,3571448.4,4961242.8,6237914.4
2017,1083,AL,Limestone County,1274427,2577174.6,2907581.6,2681016.8
2017,1085,AL,Lowndes County,154162.8,434275.6,267014,152147.6
2017,1087,AL,Macon County,309457.5,562650,605786.5,397606
2017,1089,AL,Madison County,2888368,6932083.2,10289811,15994337.8
2017,1091,AL,Marengo County,259625,691687.5,604500,381687.5
2017,1093,AL,Marion County,557877.1,1062054.8,987472.3,375895.8
2017,1095,AL,Marshall County,1576542,2981097.6,2961988,2044727.2
2017,1097,AL,Mobile County,5008855.5,14157261,12294463.5,9893524.5
2017,1099,AL,Monroe County,375355.2,953316.9,528909.6,275118.3
2017,1101,AL,Montgomery County,2787745.8,5847466.8,6459411,7569976.4
2017,1103,AL,Morgan County,1817915.4,3707121.6,3659594.4,2709050.4
2017,1105,AL,Perry County,199854.6,374493.9,183044.4,176507.1
2017,1107,AL,Pickens County,336939.2,853444.8,556857.6,268340.8
2017,1109,AL,Pike County,422490.9,1207592.1,775121.1,924822.6
2017,1111,AL,Randolph County,446599,779848,671032,367254
2017,1113,AL,Russell County,838561.5,1682827.5,2196232.5,986878.5
2017,1115,AL,St. Clair County,1234786,3104604.8,2857647.6,1631681.5
2017,1117,AL,Shelby County,1367072,4229379,6194545,9569504
2017,1119,AL,Sumter County,161124.9,425014.5,435164.1,247396.5
2017,1121,AL,Talladega County,1369111.5,2770249,2594106,1273033.5
