County,County Code,Deaths,Population,Crude Rate,Year
"Autauga County, AL",1001.0,Suppressed,55416,Suppressed,2016
"Baldwin County, AL",1003.0,18,208563,Unreliable,2016
"Barbour County, AL",1005.0,Suppressed,25965,Suppressed,2016
"Bibb County, AL",1007.0,Suppressed,22643,Suppressed,2016
"Blount County, AL",1009.0,Suppressed,57704,Suppressed,2016
"Bullock County, AL",1011.0,Suppressed,10362,Suppressed,2016
"Butler County, AL",1013.0,Suppressed,19998,Suppressed,2016
"Calhoun County, AL",1015.0,Suppressed,114611,Suppressed,2016
"Chambers County, AL",1017.0,Suppressed,33843,Suppressed,2016
"Cherokee County, AL",1019.0,Suppressed,25725,Suppressed,2016
"Chilton County, AL",1021.0,Suppressed,43941,Suppressed,2016
"Choctaw County, AL",1023.0,Suppressed,12993,Suppressed,2016
"Clarke County, AL",1025.0,Suppressed,24392,Suppressed,2016
"Clay County, AL",1027.0,Suppressed,13492,Suppressed,2016
"Cleburne County, AL",1029.0,Suppressed,14924,Suppressed,2016
"Coffee County, AL",1031.0,Suppressed,51226,Suppressed,2016
"Colbert County, AL",1033.0,Suppressed,54216,Suppressed,2016
"Conecuh County, AL",1035.0,Suppressed,12395,Suppressed,2016
"Coosa County, AL",1037.0,Suppressed,10581,Suppressed,2016
"Covington County, AL",1039.0,Suppressed,37458,Suppressed,2016
"Crenshaw County, AL",1041.0,Suppressed,13913,Suppressed,2016
"Cullman County, AL",1043.0,13,82471,Unreliable,2016
"Dale County, AL",1045.0,Suppressed,49226,Suppressed,2016
"Dallas County, AL",1047.0,Suppressed,40008,Suppressed,2016
"DeKalb County, AL",1049.0,Suppressed,70900,Suppressed,2016
"Elmore County, AL",1051.0,Suppressed,81799,Suppressed,2016
"Escambia County, AL",1053.0,Suppressed,37728,Suppressed,2016
"Etowah County, AL",1055.0,Suppressed,102564,Suppressed,2016
"Fayette County, AL",1057.0,Suppressed,16546,Suppressed,2016
"Franklin County, AL",1059.0,Suppressed,31628,Suppressed,2016
"Geneva County, AL",1061.0,Suppressed,26614,Suppressed,2016
"Greene County, AL",1063.0,Suppressed,8422,Suppressed,2016
"Hale County, AL",1065.0,Suppressed,14952,Suppressed,2016
"Henry County, AL",1067.0,Suppressed,17164,Suppressed,2016
"Houston County, AL",1069.0,Suppressed,104056,Suppressed,2016
"Jackson County, AL",1071.0,Suppressed,52138,Suppressed,2016
"Jefferson County, AL",1073.0,169,659521,25.6,2016
"Lamar County, AL",1075.0,Suppressed,13918,Suppressed,2016
"Lauderdale County, AL",1077.0,Suppressed,92318,Suppressed,2016
"Lawrence County, AL",1079.0,Suppressed,33244,Suppressed,2016
"Lee County, AL",1081.0,Suppressed,158991,Suppressed,2016
"Limestone County, AL",1083.0,Suppressed,92753,Suppressed,2016
"Lowndes County, AL",1085.0,Suppressed,10358,Suppressed,2016
"Macon County, AL",1087.0,Suppressed,18963,Suppressed,2016
"Madison County, AL",1089.0,16,356967,Unreliable,2016
"Marengo County, AL",1091.0,Suppressed,19673,Suppressed,2016
"Marion County, AL",1093.0,Suppressed,29998,Suppressed,2016
"Marshall County, AL",1095.0,Suppressed,95157,Suppressed,2016
"Mobile County, AL",1097.0,21,414836,5.1,2016
"Monroe County, AL",1099.0,Suppressed,21530,Suppressed,2016
"Montgomery County, AL",1101.0,Suppressed,226349,Suppressed,2016
"Morgan County, AL",1103.0,Suppressed,119012,Suppressed,2016
"Perry County, AL",1105.0,Suppressed,9574,Suppressed,2016
"Pickens County, AL",1107.0,Suppressed,20324,Suppressed,2016
"Pike County, AL",1109.0,Suppressed,33286,Suppressed,2016
"Randolph County, AL",1111.0,Suppressed,22652,Suppressed,2016
"Russell County, AL",1113.0,Suppressed,58172,Suppressed,2016
"St. Clair County, AL",1115.0,13,88019,Unreliable,2016
"Shelby County, AL",1117.0,28,210622,13.3,2016
"Sumter County, AL",1119.0,Suppressed,13040,Suppressed,2016
"Talladega County, AL",1121.0,Suppressed,80103,Suppressed,2016
"Tallapoosa County, AL",1123.0,Suppressed,40727,Suppressed,2016
"Tuscaloosa County, AL",1125.0,Suppressed,206102,Suppressed,2016
"Walker County, AL",1127.0,Suppressed,64967,Suppressed,2016
"Washington County, AL",1129.0,Suppressed,16756,Suppressed,2016
"Wilcox County, AL",1131.0,Suppressed,10986,Suppressed,2016
"Winston County, AL",1133.0,Suppressed,23805,Suppressed,2016
"Aleutians East Borough, AK",2013.0,Suppressed,3296,Suppressed,2016
"Aleutians West Census Area, AK",2016.0,Suppressed,5647,Suppressed,2016
"Anchorage Borough, AK",2020.0,44,298192,14.8,2016
"Bethel Census Area, AK",2050.0,Suppressed,17968,Suppressed,2016
"Bristol Bay Borough, AK",2060.0,Suppressed,898,Suppressed,2016
"Denali Borough, AK",2068.0,Suppressed,1953,Suppressed,2016
"Dillingham Census Area, AK",2070.0,Suppressed,4954,Suppressed,2016
"Fairbanks North Star Borough, AK",2090.0,11,100605,Unreliable,2016
"Haines Borough, AK",2100.0,Suppressed,2496,Suppressed,2016
"Hoonah-Angoon Census Area, AK",2105.0,Suppressed,2078,Suppressed,2016
"Juneau Borough, AK",2110.0,Suppressed,32468,Suppressed,2016
"Kenai Peninsula Borough, AK",2122.0,13,58506,Unreliable,2016
"Ketchikan Gateway Borough, AK",2130.0,Suppressed,13746,Suppressed,2016
"Kodiak Island Borough, AK",2150.0,Suppressed,13732,Suppressed,2016
"Lake and Peninsula Borough, AK",2164.0,Suppressed,1562,Suppressed,2016
"Matanuska-Susitna Borough, AK",2170.0,19,104365,Unreliable,2016
"Nome Census Area, AK",2180.0,Suppressed,9917,Suppressed,2016
"North Slope Borough, AK",2185.0,Suppressed,9606,Suppressed,2016
"Northwest Arctic Borough, AK",2188.0,Suppressed,7673,Suppressed,2016
"Petersburg Borough/Census Area, AK",2195.0,Suppressed,3149,Suppressed,2016
"Prince of Wales-Hyder Census Area, AK",2198.0,Suppressed,6347,Suppressed,2016
"Prince of Wales-Outer Ketchikan Census Area, AK",2201.0,Missing,Missing,Missing,2016
"Sitka Borough, AK",2220.0,Suppressed,8830,Suppressed,2016
"Skagway Municipality, AK",2230.0,Suppressed,1088,Suppressed,2016
"Skagway-Hoonah-Angoon Census Area, AK",2232.0,Missing,Missing,Missing,2016
"Southeast Fairbanks Census Area, AK",2240.0,Suppressed,6876,Suppressed,2016
"Valdez-Cordova Census Area, AK",2261.0,Suppressed,9355,Suppressed,2016
"Wade Hampton Census Area, AK",2270.0,Suppressed,8049,Suppressed,2016
"Wrangell City and Borough, AK",2275.0,Suppressed,2411,Suppressed,2016
"Wrangell-Petersburg Census Area, AK",2280.0,Missing,Missing,Missing,2016
"Yakutat Borough, AK",2282.0,Suppressed,601,Suppressed,2016
"Yukon-Koyukuk Census Area, AK",2290.0,Suppressed,5526,Suppressed,2016
"Apache County, AZ",4001.0,Suppressed,73112,Suppressed,2016
"Cochise County, AZ",4003.0,19,125770,Unreliable,2016
"Coconino County, AZ",4005.0,Suppressed,140908,Suppressed,2016
"Gila County, AZ",4007.0,Suppressed,53556,Suppressed,2016
"Graham County, AZ",4009.0,Suppressed,37599,Suppressed,2016
"Greenlee County, AZ",4011.0,Suppressed,9613,Suppressed,2016
"La Paz County, AZ",4012.0,Suppressed,20317,Suppressed,2016
"Maricopa County, AZ",4013.0,494,4242997,11.6,2016
"Mohave County, AZ",4015.0,35,205249,17.1,2016
"Navajo County, AZ",4017.0,Suppressed,110026,Suppressed,2016
"Pima County, AZ",4019.0,172,1016206,16.9,2016
"Pinal County, AZ",4021.0,33,418540,7.9,2016
"Santa Cruz County, AZ",4023.0,Suppressed,45985,Suppressed,2016
"Yavapai County, AZ",4025.0,18,225562,Unreliable,2016
"Yuma County, AZ",4027.0,Suppressed,205631,Suppressed,2016
"Arkansas County, AR",5001.0,Suppressed,18214,Suppressed,2016
"Ashley County, AR",5003.0,Suppressed,20492,Suppressed,2016
"Baxter County, AR",5005.0,Suppressed,41062,Suppressed,2016
"Benton County, AR",5007.0,23,258291,8.9,2016
"Boone County, AR",5009.0,Suppressed,37304,Suppressed,2016
"Bradley County, AR",5011.0,Suppressed,10996,Suppressed,2016
"Calhoun County, AR",5013.0,Suppressed,5144,Suppressed,2016
"Carroll County, AR",5015.0,Suppressed,27646,Suppressed,2016
"Chicot County, AR",5017.0,Suppressed,10945,Suppressed,2016
"Clark County, AR",5019.0,Suppressed,22657,Suppressed,2016
"Clay County, AR",5021.0,Suppressed,14920,Suppressed,2016
"Cleburne County, AR",5023.0,Suppressed,25264,Suppressed,2016
"Cleveland County, AR",5025.0,Suppressed,8241,Suppressed,2016
"Columbia County, AR",5027.0,Suppressed,23901,Suppressed,2016
"Conway County, AR",5029.0,Suppressed,20937,Suppressed,2016
"Craighead County, AR",5031.0,Suppressed,105835,Suppressed,2016
"Crawford County, AR",5033.0,Suppressed,62267,Suppressed,2016
"Crittenden County, AR",5035.0,Suppressed,49235,Suppressed,2016
"Cross County, AR",5037.0,Suppressed,17037,Suppressed,2016
"Dallas County, AR",5039.0,Suppressed,7469,Suppressed,2016
"Desha County, AR",5041.0,Suppressed,11876,Suppressed,2016
"Drew County, AR",5043.0,Suppressed,18651,Suppressed,2016
"Faulkner County, AR",5045.0,Suppressed,122227,Suppressed,2016
"Franklin County, AR",5047.0,Suppressed,17626,Suppressed,2016
"Fulton County, AR",5049.0,Suppressed,12123,Suppressed,2016
"Garland County, AR",5051.0,13,97477,Unreliable,2016
"Grant County, AR",5053.0,Suppressed,18082,Suppressed,2016
"Greene County, AR",5055.0,Suppressed,44598,Suppressed,2016
"Hempstead County, AR",5057.0,Suppressed,21974,Suppressed,2016
"Hot Spring County, AR",5059.0,Suppressed,33374,Suppressed,2016
"Howard County, AR",5061.0,Suppressed,13377,Suppressed,2016
"Independence County, AR",5063.0,Suppressed,37168,Suppressed,2016
"Izard County, AR",5065.0,Suppressed,13433,Suppressed,2016
"Jackson County, AR",5067.0,Suppressed,17221,Suppressed,2016
"Jefferson County, AR",5069.0,Suppressed,70016,Suppressed,2016
"Johnson County, AR",5071.0,Suppressed,26176,Suppressed,2016
"Lafayette County, AR",5073.0,Suppressed,6847,Suppressed,2016
"Lawrence County, AR",5075.0,Suppressed,16735,Suppressed,2016
"Lee County, AR",5077.0,Suppressed,9310,Suppressed,2016
"Lincoln County, AR",5079.0,Suppressed,13705,Suppressed,2016
"Little River County, AR",5081.0,Suppressed,12451,Suppressed,2016
"Logan County, AR",5083.0,Suppressed,21792,Suppressed,2016
"Lonoke County, AR",5085.0,Suppressed,72228,Suppressed,2016
"Madison County, AR",5087.0,Suppressed,16072,Suppressed,2016
"Marion County, AR",5089.0,Suppressed,16325,Suppressed,2016
"Miller County, AR",5091.0,Suppressed,43787,Suppressed,2016
"Mississippi County, AR",5093.0,Suppressed,42835,Suppressed,2016
"Monroe County, AR",5095.0,Suppressed,7169,Suppressed,2016
"Montgomery County, AR",5097.0,Suppressed,8879,Suppressed,2016
"Nevada County, AR",5099.0,Suppressed,8398,Suppressed,2016
"Newton County, AR",5101.0,Suppressed,7936,Suppressed,2016
"Ouachita County, AR",5103.0,Suppressed,24098,Suppressed,2016
"Perry County, AR",5105.0,Suppressed,10132,Suppressed,2016
"Phillips County, AR",5107.0,Suppressed,18975,Suppressed,2016
"Pike County, AR",5109.0,Suppressed,10832,Suppressed,2016
"Poinsett County, AR",5111.0,Suppressed,24023,Suppressed,2016
"Polk County, AR",5113.0,Suppressed,20173,Suppressed,2016
"Pope County, AR",5115.0,Suppressed,63779,Suppressed,2016
"Prairie County, AR",5117.0,Suppressed,8251,Suppressed,2016
"Pulaski County, AR",5119.0,23,393250,5.8,2016
"Randolph County, AR",5121.0,Suppressed,17448,Suppressed,2016
"St. Francis County, AR",5123.0,Suppressed,26196,Suppressed,2016
"Saline County, AR",5125.0,11,118703,Unreliable,2016
"Scott County, AR",5127.0,Suppressed,10277,Suppressed,2016
"Searcy County, AR",5129.0,Suppressed,7967,Suppressed,2016
"Sebastian County, AR",5131.0,10,127793,Unreliable,2016
"Sevier County, AR",5133.0,Suppressed,16910,Suppressed,2016
"Sharp County, AR",5135.0,Suppressed,17157,Suppressed,2016
"Stone County, AR",5137.0,Suppressed,12539,Suppressed,2016
"Union County, AR",5139.0,Suppressed,39887,Suppressed,2016
"Van Buren County, AR",5141.0,Suppressed,16628,Suppressed,2016
"Washington County, AR",5143.0,Suppressed,228049,Suppressed,2016
"White County, AR",5145.0,Suppressed,79263,Suppressed,2016
"Woodruff County, AR",5147.0,Suppressed,6641,Suppressed,2016
"Yell County, AR",5149.0,Suppressed,21552,Suppressed,2016
"Alameda County, CA",6001.0,52,1647704,3.2,2016
"Alpine County, CA",6003.0,Suppressed,1071,Suppressed,2016
"Amador County, CA",6005.0,Suppressed,37383,Suppressed,2016
"Butte County, CA",6007.0,19,226864,Unreliable,2016
"Calaveras County, CA",6009.0,Suppressed,45171,Suppressed,2016
"Colusa County, CA",6011.0,Suppressed,21588,Suppressed,2016
"Contra Costa County, CA",6013.0,55,1135127,4.8,2016
"Del Norte County, CA",6015.0,Suppressed,27540,Suppressed,2016
"El Dorado County, CA",6017.0,Suppressed,185625,Suppressed,2016
"Fresno County, CA",6019.0,65,979915,6.6,2016
"Glenn County, CA",6021.0,Suppressed,28085,Suppressed,2016
"Humboldt County, CA",6023.0,34,136646,24.9,2016
"Imperial County, CA",6025.0,11,180883,Unreliable,2016
"Inyo County, CA",6027.0,Suppressed,18144,Suppressed,2016
"Kern County, CA",6029.0,59,884788,6.7,2016
"Kings County, CA",6031.0,Suppressed,149785,Suppressed,2016
"Lake County, CA",6033.0,11,64116,Unreliable,2016
"Lassen County, CA",6035.0,Suppressed,30870,Suppressed,2016
"Los Angeles County, CA",6037.0,392,10137915,3.9,2016
"Madera County, CA",6039.0,10,154697,Unreliable,2016
"Marin County, CA",6041.0,16,260651,Unreliable,2016
