Year,FIPS_code,State,Area_name,Unemployed,Unemployment_rate
2017,1001,AL,"Autauga County, AL","1,045",4
2017,1003,AL,"Baldwin County, AL","3,866",4.2
2017,1005,AL,"Barbour County, AL",501,6
2017,1007,AL,"Bibb County, AL",387,4.5
2017,1009,AL,"Blount County, AL","1,030",4.1
2017,1011,AL,"Bullock County, AL",246,5
2017,1013,AL,"Butler County, AL",510,5.6
2017,1015,AL,"Calhoun County, AL","2,344",5.1
2017,1017,AL,"Chambers County, AL",641,4.2
2017,1019,AL,"Cherokee County, AL",477,4.2
2017,1021,AL,"Chilton County, AL",811,4.2
2017,1023,AL,"Choctaw County, AL",288,6.5
2017,1025,AL,"Clarke County, AL",679,8.7
2017,1027,AL,"Clay County, AL",260,4.4
2017,1029,AL,"Cleburne County, AL",267,4.6
2017,1031,AL,"Coffee County, AL",949,4.5
2017,1033,AL,"Colbert County, AL","1,252",5.3
2017,1035,AL,"Conecuh County, AL",284,6.3
2017,1037,AL,"Coosa County, AL",212,4.8
2017,1039,AL,"Covington County, AL",847,5.3
2017,1041,AL,"Crenshaw County, AL",300,4.6
2017,1043,AL,"Cullman County, AL","1,466",3.8
2017,1045,AL,"Dale County, AL",923,4.6
2017,1047,AL,"Dallas County, AL","1,165",7.7
2017,1049,AL,"DeKalb County, AL","1,374",4.6
2017,1051,AL,"Elmore County, AL","1,420",3.8
2017,1053,AL,"Escambia County, AL",745,5.1
2017,1055,AL,"Etowah County, AL","2,045",4.7
2017,1057,AL,"Fayette County, AL",320,4.8
2017,1059,AL,"Franklin County, AL",618,4.4
2017,1061,AL,"Geneva County, AL",485,4.4
2017,1063,AL,"Greene County, AL",223,7.7
2017,1065,AL,"Hale County, AL",366,6.1
2017,1067,AL,"Henry County, AL",338,5
2017,1069,AL,"Houston County, AL","2,021",4.5
2017,1071,AL,"Jackson County, AL","1,146",4.9
2017,1073,AL,"Jefferson County, AL","13,675",4.4
2017,1075,AL,"Lamar County, AL",249,4.3
2017,1077,AL,"Lauderdale County, AL","2,019",4.7
2017,1079,AL,"Lawrence County, AL",696,5
2017,1081,AL,"Lee County, AL","3,019",4.1
2017,1083,AL,"Limestone County, AL","1,730",4.1
2017,1085,AL,"Lowndes County, AL",311,8.4
2017,1087,AL,"Macon County, AL",471,5.9
2017,1089,AL,"Madison County, AL","7,071",4
2017,1091,AL,"Marengo County, AL",447,5.7
2017,1093,AL,"Marion County, AL",622,4.9
2017,1095,AL,"Marshall County, AL","1,679",3.9
2017,1097,AL,"Mobile County, AL","10,051",5.3
2017,1099,AL,"Monroe County, AL",502,6.9
2017,1101,AL,"Montgomery County, AL","4,747",4.4
2017,1103,AL,"Morgan County, AL","2,337",4.2
2017,1105,AL,"Perry County, AL",277,8
2017,1107,AL,"Pickens County, AL",428,5.5
2017,1109,AL,"Pike County, AL",769,5
2017,1111,AL,"Randolph County, AL",431,4.5
2017,1113,AL,"Russell County, AL","1,047",4.4
2017,1115,AL,"St. Clair County, AL","1,611",4.1
2017,1117,AL,"Shelby County, AL","3,720",3.3
2017,1119,AL,"Sumter County, AL",337,6.7
2017,1121,AL,"Talladega County, AL","1,795",5.1
2017,1123,AL,"Tallapoosa County, AL",793,4.3
2017,1125,AL,"Tuscaloosa County, AL","4,303",4.3
2017,1127,AL,"Walker County, AL","1,298",5.2
2017,1129,AL,"Washington County, AL",468,6.9
2017,1131,AL,"Wilcox County, AL",331,11.7
2017,1133,AL,"Winston County, AL",505,5.1
2017,2013,AK,"Aleutians East Borough, AK",59,2.3
2017,2016,AK,"Aleutians West Census Area, AK",129,3.4
2017,2020,AK,"Anchorage Borough/municipality, AK","8,368",5.4
2017,2050,AK,"Bethel Census Area, AK",930,12.7
2017,2060,AK,"Bristol Bay Borough, AK",25,5.9
2017,2063,AK,"Chugach Census Area, AK",0,0
2017,2066,AK,"Copper River Census Area, AK",0,0
2017,2068,AK,"Denali Borough, AK",97,8.5
2017,2070,AK,"Dillingham Census Area, AK",172,8.4
2017,2090,AK,"Fairbanks North Star Borough, AK","2,647",5.7
2017,2100,AK,"Haines Borough, AK",90,8.3
